stream,detector,policy,guarded,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,False,0.33789245373483134,0.3501913875598086,1.0,0.0,0.5,12350.0,,
RBF_I,adwin,confirmed,True,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.3153435233098701,0.5,12350.0,,
RBF_I,adwin,immediate,False,0.4587820103815351,0.46220095693779906,1.0,0.0,4.0,11400.0,,
RBF_I,adwin,immediate,True,0.4098252224750576,0.41086124401913876,0.8111150193457615,0.27140671869211375,1.5,11400.0,,
RBF_I,d3_oof,confirmed,False,0.33789245373483134,0.3501913875598086,1.0,0.0,0.0,11400.0,,
RBF_I,d3_oof,confirmed,True,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
RBF_I,d3_oof,immediate,False,0.33789245373483134,0.3501913875598086,1.0,0.0,0.0,11400.0,,
RBF_I,d3_oof,immediate,True,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
RBF_I,hddm_w,confirmed,False,0.33789245373483134,0.3501913875598086,1.0,0.0,0.0,11400.0,,
RBF_I,hddm_w,confirmed,True,0.34357187532061073,0.3530622009569378,0.8040801969750264,0.2700921400145799,0.5,12350.0,,
RBF_I,hddm_w,immediate,False,0.4615916253484677,0.4639712918660287,1.0,0.0,6.0,11400.0,,
RBF_I,hddm_w,immediate,True,0.38221735108361,0.38808612440191387,0.5321843123461133,0.4520656811310157,1.5,11400.0,,
RBF_I,hellinger,confirmed,False,0.33789245373483134,0.3501913875598086,1.0,0.0,0.0,11400.0,,
RBF_I,hellinger,confirmed,True,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
RBF_I,hellinger,immediate,False,0.33789245373483134,0.3501913875598086,1.0,0.0,0.0,11400.0,,
RBF_I,hellinger,immediate,True,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
RBF_I,none,none,False,0.33789245373483134,0.3501913875598086,1.0,0.0,0.0,11400.0,,
RBF_I,none,none,True,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
SEA_A,adwin,confirmed,False,0.8726368682379393,0.884354066985646,1.0,0.0,0.0,11400.0,,
SEA_A,adwin,confirmed,True,0.8601748226884922,0.8741626794258373,0.9053770949720671,0.1356625841861803,0.5,12350.0,,
SEA_A,adwin,immediate,False,0.8781371405716504,0.8895693779904306,1.0,0.0,1.0,11400.0,,
SEA_A,adwin,immediate,True,0.8607911923187523,0.8749282296650718,0.9053770949720671,0.18111712964072574,0.5,11400.0,,
SEA_A,d3_oof,confirmed,False,0.8726368682379393,0.884354066985646,1.0,0.0,0.0,11400.0,,
SEA_A,d3_oof,confirmed,True,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,d3_oof,immediate,False,0.8726368682379393,0.884354066985646,1.0,0.0,0.0,11400.0,,
SEA_A,d3_oof,immediate,True,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,hddm_w,confirmed,False,0.8726368682379393,0.884354066985646,1.0,0.0,0.0,11400.0,,
SEA_A,hddm_w,confirmed,True,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,hddm_w,immediate,False,0.8774994224119514,0.888133971291866,1.0,0.0,2.5,11400.0,,
SEA_A,hddm_w,immediate,True,0.8634816052892786,0.8772727272727272,0.5516759776536313,0.31935623037653094,1.5,11400.0,,
SEA_A,hellinger,confirmed,False,0.8726368682379393,0.884354066985646,1.0,0.0,0.0,11400.0,,
SEA_A,hellinger,confirmed,True,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,hellinger,immediate,False,0.8726368682379393,0.884354066985646,1.0,0.0,0.0,11400.0,,
SEA_A,hellinger,immediate,True,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,none,none,False,0.8726368682379393,0.884354066985646,1.0,0.0,0.0,11400.0,,
SEA_A,none,none,True,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
radar,adwin,confirmed,False,0.16181793193447036,0.657511961722488,1.0,0.0,1.0,13300.0,0.44611585092052086,0.08047031354236157
radar,adwin,confirmed,True,0.21455545195453019,0.6807655502392345,0.8136427566807314,0.31733320584227764,0.5,13300.0,0.4328693309384823,0.07580053368912608
radar,adwin,immediate,False,0.1944498742074249,0.6078947368421053,1.0,0.0,7.0,11400.0,0.4242254153569825,0.19037691794529688
radar,adwin,immediate,True,0.14443768143634064,0.5977511961722488,0.5439521800281294,0.4997191212678985,2.0,11400.0,0.15368208352043106,0.050700466977985324
radar,d3_oof,confirmed,False,0.18132515265171747,0.6634928229665071,1.0,0.0,0.0,11400.0,0.45588235294117646,0.08047031354236157
radar,d3_oof,confirmed,True,0.1596638735172884,0.5905741626794259,0.719760900140647,0.3622319699758564,0.0,11400.0,0.22406825325550067,0.07580053368912608
radar,d3_oof,immediate,False,0.18132515265171747,0.6634928229665071,1.0,0.0,0.0,11400.0,0.45588235294117646,0.08047031354236157
radar,d3_oof,immediate,True,0.1596638735172884,0.5905741626794259,0.719760900140647,0.3622319699758564,0.0,11400.0,0.22406825325550067,0.07580053368912608
radar,hddm_w,confirmed,False,0.19575354694852337,0.7028708133971292,1.0,0.0,1.0,13300.0,0.5460260440053883,0.08047031354236157
radar,hddm_w,confirmed,True,0.21455545195453019,0.6807655502392345,0.8136427566807314,0.31733320584227764,0.5,13300.0,0.4328693309384823,0.07580053368912608
radar,hddm_w,immediate,False,0.19648281432316086,0.6252153110047847,1.0,0.0,6.0,11400.0,0.4242254153569825,0.16002334889926617
radar,hddm_w,immediate,True,0.14443768143634064,0.5977511961722488,0.459915611814346,0.5464585375182271,1.5,11400.0,0.15368208352043106,0.050700466977985324
radar,hellinger,confirmed,False,0.18132515265171747,0.6634928229665071,1.0,0.0,0.5,12350.0,0.45588235294117646,0.08047031354236157
radar,hellinger,confirmed,True,0.1596638735172884,0.5905741626794259,0.719760900140647,0.31677742452131097,1.0,13300.0,0.22406825325550067,0.07580053368912608
radar,hellinger,immediate,False,0.2037560872041279,0.7097607655502391,1.0,0.0,1.0,11400.0,0.5635383924562192,0.08047031354236157
radar,hellinger,immediate,True,0.1596638735172884,0.5905741626794259,0.6318565400843882,0.40824827289460475,0.0,11400.0,0.22406825325550067,0.07580053368912608
radar,none,none,False,0.18132515265171747,0.6634928229665071,1.0,0.0,0.0,11400.0,0.45588235294117646,0.08047031354236157
radar,none,none,True,0.1596638735172884,0.5905741626794259,0.719760900140647,0.3622319699758564,0.0,11400.0,0.22406825325550067,0.07580053368912608
