stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_n,host_accuracy,host_macro_f1,macro_precision,macro_recall,host_macro_f1_clean,host_accuracy_clean,macro_f1_change_from_clean
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.88,0.8674801403756076,0.8821223975346297,0.8580201571061754,0.8674801403756076,0.88,0.0
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,10450,0.8887081339712919,0.877793596100271,0.8893547099353736,0.8697270457820313,0.8674801403756076,0.88,0.010313455724663356
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,10450,0.36995215311004787,0.3630090291100171,0.3685362514764989,0.3666142511564512,0.3630090291100171,0.36995215311004787,0.0
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,10450,0.33043062200956935,0.31277587835964565,0.38345341587505455,0.3224006756338176,0.3630090291100171,0.36995215311004787,-0.050233150750371436
radar,clean,none,,,,radar__evaluation,radar__evaluation__clean__none__aNone,10450,0.6038277511961723,0.156893273209522,0.2073274178428207,0.15349055753136043,0.156893273209522,0.6038277511961723,0.0
radar,instance,severe,,3068245370.0,0.0,radar__evaluation,radar__evaluation__instance__severe__a0,10450,0.7231578947368421,0.20575703209391294,0.23687301906726366,0.20198558116801596,0.156893273209522,0.6038277511961723,0.04886375888439093
