dataset,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,0,adwin,confirmed,-4.225002863246729,-6.025165555076106,-5.782731886873134,-0.0020474646459903343,,14.676922742158341,-1.650325010881831,16.57048523683669
RADAR,0,adwin,immediate,-10.73773348921401,-18.78533438836203,-20.988312521222028,-0.0494682221496191,,36.38223102281505,-28.46810643771158,3.414922898882864
RADAR,0,d3_oof,confirmed,-3.292208680131862,-5.664508611094036,-4.91627596270336,-0.013329774519635537,,12.609750524952938,-0.6188718790806869,25.917570164587246
RADAR,0,d3_oof,immediate,-3.89522346487338,-10.525570574703437,-11.852032438838313,0.0028670225327204943,,17.364246624525357,-1.2377437581613733,27.71337807090244
RADAR,0,hddm_w,confirmed,-4.314124908428959,-7.781171535024565,-7.5491141275753755,-0.003727764749572519,,15.297074407319961,-1.8566156372420606,16.444203728480602
RADAR,0,hddm_w,immediate,-6.993675698855728,-16.385988246015774,-18.951290386257508,0.009888056168274298,,35.55536213593289,-35.688278360319586,6.02068890755222
RADAR,0,hellinger,confirmed,-3.4929968068205994,-7.754025385450883,-9.18345117942479,-0.007615910808328759,,14.470205520437801,-1.4440343845216022,31.036304715999094
RADAR,0,hellinger,immediate,-5.938697058549743,-14.94923776862476,-16.025830013952532,0.021914897457264642,,22.325459945818334,-4.538393779925033,50.2772065567468
RADAR,0,none,none,-4.739714652349954,-7.5374037852081415,-6.06070204263655,-0.018536632280831283,,7.4418199819394415,0.0,106.93428653353816
RADAR,1,adwin,confirmed,-3.1718531552955818,-5.924949474668704,-5.654573001385327,-0.004911463600094128,-15.774327813031727,15.780354744135465,-0.6188718790806865,16.136000588596882
RADAR,1,adwin,immediate,-11.761415127634315,-18.287442843925977,-18.55007102192464,-0.03780246281833947,-32.00531311307487,32.12867567058885,-22.554441815385015,6.328309290134601
RADAR,1,d3_oof,confirmed,0.0807591241897961,-2.2437876824210963,0.0019718661999605183,0.03970719025652991,-13.624416002331921,13.646685972807013,-0.1375270842401525,49.8631327088143
RADAR,1,d3_oof,immediate,-0.5211192506261564,-5.404551727121757,-5.370924342970379,0.02800650302617406,-17.772836357471927,17.778561321386746,-0.6876354212007628,19.586441211638718
RADAR,1,hddm_w,confirmed,-2.221502934207009,-5.613136163741653,-5.837879207140991,-0.0036900538257428708,-15.93853220087454,15.91350265780919,-1.237743758161373,16.407066588559847
RADAR,1,hddm_w,immediate,-10.860156196469665,-19.481140211186155,-20.298614260599532,-0.027727549052953826,-31.074875149912287,31.157927013378707,-28.880687690432037,11.757391860722082
RADAR,1,hellinger,confirmed,-0.9017596997254426,-3.712307858778498,-3.140157821968087,0.008432009519545444,-14.953682837213629,15.033419235311657,-0.8251625054409151,28.001512949202176
