stream,detector,granularity,accuracy_oracle_minus_random,macro_f1_oracle_minus_random,macro_recall_oracle_minus_random,roc_auc_oracle_minus_random,poison_admission_rate_oracle_minus_random,legitimate_withhold_rate_oracle_minus_random,filter_poison_recall_oracle_minus_random,filter_legitimate_rejection_oracle_minus_random,scored_resets_oracle_minus_random,total_seconds_oracle_minus_random
RBF_I,adwin,blocks,0.010903835462964794,0.011149898728594706,0.011012562334643131,0.0092916251130736,-0.274305450330334,-0.06128686438450548,0.3948179514444315,-0.10013310959735118,0.16666666666666666,-0.4086505115001273
RBF_I,adwin,rows,0.03229688609688642,0.03246065167739258,0.032313698966533154,0.02162279319880767,-0.5140605647036315,-0.20443425240502022,0.7985085984696387,-0.20070933908551178,-0.7777777777777778,4.500518750055764
RBF_I,d3_oof,blocks,0.011817923845488972,0.012240658555122094,0.012590458588641879,0.010753338384111225,-0.28263908576784447,-0.06511034181530262,0.3948179514444315,-0.10013310959735118,0.05555555555555555,0.1835537061110193
RBF_I,d3_oof,rows,0.027355816444507634,0.027460501093632222,0.027148330631258388,0.018030753000738,-0.5471088585606056,-0.18189797200375954,0.7985085984696387,-0.20070933908551178,0.1111111111111111,1.019346812499559
RBF_I,hddm_w,blocks,-0.0042980342295450185,-0.004413324013542287,-0.004184230050269843,0.000494736819145685,-0.27800025871133405,-0.063031680941394,0.3948179514444315,-0.10013310959735118,1.4444444444444444,-1.1265291575553216
RBF_I,hddm_w,rows,0.018313764730982045,0.01889116207290569,0.019125314814602865,0.015478778918716704,-0.49658126187706003,-0.14849706693823309,0.7985085984696387,-0.20070933908551178,-0.16666666666666666,0.8796473890558137
RBF_I,hellinger,blocks,-0.0008035164651752357,-0.0008104075950703146,-0.0009777855263194413,0.00201976698304579,-0.2758201300032101,-0.05630128831046444,0.3948179514444315,-0.10013310959735118,0.611111111111111,-0.48105800688851286
RBF_I,hellinger,rows,0.02969654302104315,0.030116010507141192,0.0296804010763585,0.019748663233896253,-0.541412428838047,-0.1872443135780776,0.7985085984696387,-0.20070933908551178,-0.5555555555555555,2.465836176277865
SEA_A,adwin,blocks,0.0009743497213381228,0.0009760300106291625,0.0006576793033875164,0.0011017504319739567,-0.16635164172876005,-0.049375152539248436,0.20361060202681172,-0.04576490968513072,0.0,0.14912360411128447
SEA_A,adwin,rows,0.008086598093698832,0.008752655549365027,0.008366468153071953,0.003854673747304003,-0.6148990896761558,-0.24329903704919856,0.7996332928684509,-0.20094671249975418,-2.111111111111111,0.14006833572228863
SEA_A,d3_oof,blocks,0.0009743497213381228,0.0009760300106291625,0.0006576793033875164,0.0011017504319739567,-0.16635164172876005,-0.049375152539248436,0.20361060202681172,-0.04576490968513072,0.0,0.12712449772192888
SEA_A,d3_oof,rows,0.003832126022350939,0.004317732719110561,0.004853131437260645,0.0024848388596808344,-0.6729294887438516,-0.21236476677268268,0.7996332928684509,-0.20094671249975418,-0.1111111111111111,0.20667821305586484
SEA_A,hddm_w,blocks,0.0009743497213381228,0.0009760300106291625,0.0006576793033875164,0.0011017504319739567,-0.16635164172876005,-0.049375152539248436,0.20361060202681172,-0.04576490968513072,0.0,0.18365497911135106
SEA_A,hddm_w,rows,-0.0011230689911721737,-0.0015384964195642916,-0.002415427660460903,0.0004921525108021524,-0.6008727686783882,-0.28835311750722686,0.7996332928684509,-0.20094671249975418,-3.0,1.1716733380554716
SEA_A,hellinger,blocks,0.0009743497213381228,0.0009760300106291625,0.0006576793033875164,0.0011017504319739567,-0.16635164172876005,-0.049375152539248436,0.20361060202681172,-0.04576490968513072,0.0,0.08178305094467453
SEA_A,hellinger,rows,-0.0008512711407388888,-0.0013983664167251386,-0.0030264611806307563,0.0009957091453794914,-0.6203932863068506,-0.24198793451215153,0.7996332928684509,-0.20094671249975418,-1.3333333333333333,0.9264377247776187
radar,adwin,blocks,0.014826684936385628,0.005009887334803208,0.005343074015929534,0.012046315569234751,-0.1867597650559862,-0.04696302939736819,0.21917112617238899,-0.049622673867070956,0.0,-2.88946068283338
radar,adwin,rows,0.019832482932710466,0.02555101639267345,0.028237075836601816,0.013176395869794992,-0.6681323702789085,-0.11939181757239499,0.8001201870766977,-0.2002847212716724,-1.722222222222222,-23.672724916555023
radar,d3_oof,blocks,0.02020298980029137,0.005379116027453613,0.007559438855549244,0.02065673481152964,-0.19380993209578304,-0.048154617716839605,0.21917112617238899,-0.049622673867070956,0.0,1.7042074538890573
radar,d3_oof,rows,0.013559634144274135,-0.011707274786804259,-0.004841272987315486,0.0011015489764191165,-0.6704707119940525,-0.17192208007307228,0.8001201870766977,-0.2002847212716724,0.1111111111111111,-2.3694825554994146
radar,hddm_w,blocks,0.027812109826996303,0.007942574331254941,0.004713122427105904,-6.319946239650524e-05,-0.1834965897181627,-0.04470496646256925,0.21917112617238899,-0.049622673867070956,0.0,-9.820445235999713
radar,hddm_w,rows,0.01734891599125982,0.006381565226086798,-0.0028763172832662145,-0.01804744776688561,-0.6705960804486607,-0.14957243650990437,0.8001201870766977,-0.2002847212716724,-1.7777777777777777,-19.27643609038932
radar,hellinger,blocks,-0.021033236752868,-0.00648859128804908,-0.016694103113380626,-0.04445607484847108,-0.19313896629615182,-0.045789368148660324,0.21917112617238899,-0.049622673867070956,0.0,-5.270739543999702
radar,hellinger,rows,0.02801830043681405,0.02610971049580502,0.03704234137455411,0.004985155275106149,-0.673869914189409,-0.14998196761399074,0.8001201870766977,-0.2002847212716724,-0.22222222222222218,-19.409869263833873
