stream,mode,level,detector,filter,accuracy_difference,macro_f1_difference,macro_recall_difference,roc_auc_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference,filter_poison_recall_difference,filter_legitimate_rejection_difference,scored_resets_difference,total_seconds_difference,matched_assignments
RBF_I,clean,none,adwin,learned_features,-0.027217642499823835,-0.027584868290769598,-0.027961344035888347,-0.014728433617381445,,0.0496681462692877,,0.055430141619108,0.3333333333333333,-2.4692592640015705,3
RBF_I,clean,none,adwin,learned_features_label,-0.021390826463749752,-0.021277278182684285,-0.020685277660211,-0.011595224895454762,,0.044636088212499155,,0.02517720002818284,0.0,-0.6393204720006894,3
RBF_I,clean,none,adwin,none,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,3
RBF_I,clean,none,adwin,oracle_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.3707045143328287,3
RBF_I,clean,none,adwin,oracle_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.07423061166628031,3
RBF_I,clean,none,adwin,random_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.7259682779992241,3
RBF_I,clean,none,adwin,random_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.03292895866555531,3
RBF_I,clean,none,d3_oof,learned_features,-0.018541534559289752,-0.018020149279093494,-0.0179901487488003,-0.009590172582087572,,0.01831184386669484,,0.055430141619108,-0.6666666666666666,-5.987950555333858,3
RBF_I,clean,none,d3_oof,learned_features_label,-0.017228211089973928,-0.016818152534993636,-0.01614666810062415,-0.011460397563936095,,0.034666384837595994,,0.02517720002818284,-0.3333333333333333,-5.861828041333259,3
RBF_I,clean,none,d3_oof,none,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,3
RBF_I,clean,none,d3_oof,oracle_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-7.37796138900012,3
RBF_I,clean,none,d3_oof,oracle_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-6.056907180667015,3
RBF_I,clean,none,d3_oof,random_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-7.457046764001158,3
RBF_I,clean,none,d3_oof,random_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-7.077246416666942,3
RBF_I,clean,none,hddm_w,learned_features,-0.023239625167335982,-0.023370275199126527,-0.022549357087745858,-0.012391537290946811,,0.07079123511590225,,0.055430141619108,1.3333333333333333,-11.545028361333607,3
RBF_I,clean,none,hddm_w,learned_features_label,-0.015979708306911866,-0.0159397828745923,-0.015266022652477748,-0.007939220074541472,,0.034597336715282194,,0.02517720002818284,0.6666666666666666,-9.249933499667046,3
RBF_I,clean,none,hddm_w,none,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,3
RBF_I,clean,none,hddm_w,oracle_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-5.9513176943340405,3
RBF_I,clean,none,hddm_w,oracle_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-5.885765972666072,3
RBF_I,clean,none,hddm_w,random_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-7.0356552220000586,3
RBF_I,clean,none,hddm_w,random_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-7.175433847666984,3
RBF_I,clean,none,hellinger,learned_features,-0.010843373493975905,-0.010775467239185396,-0.010678219782301953,-0.0024893258297966256,,0.02215458324526176,,0.055430141619108,-0.6666666666666666,3.4530422636653384,3
RBF_I,clean,none,hellinger,learned_features_label,-0.016970337490312144,-0.017372810455501802,-0.016404191962183234,-0.00922933684896321,,0.1082139082646375,,0.02517720002818284,0.3333333333333333,1.5583408333332045,3
RBF_I,clean,none,hellinger,none,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,3
RBF_I,clean,none,hellinger,oracle_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-1.3842240143330855,3
RBF_I,clean,none,hellinger,oracle_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,3.785198958666418,3
RBF_I,clean,none,hellinger,random_blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,3.061998222000208,3
RBF_I,clean,none,hellinger,random_rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.4631405413329048,3
RBF_I,concept,moderate,adwin,learned_features,-0.019330945050459698,-0.0198151829021328,-0.02026637416491321,-0.015273658621338523,0.020286383235418242,0.01863480124114746,0.0641399005753072,0.05645985590890396,2.0,-1.8345238469998233,3
RBF_I,concept,moderate,adwin,learned_features_label,-0.01612908045122885,-0.017131417187766267,-0.01816059211111846,-0.01319009079864882,0.05382540672683397,0.02302038352227062,0.032954848416610366,0.025723317016259267,2.3333333333333335,0.7050279856672811,3
RBF_I,concept,moderate,adwin,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
RBF_I,concept,moderate,adwin,oracle_blocks,-0.004232190067852026,-0.0036599978052628637,-0.0037279121612175947,-0.0031832625430478303,-0.5794535464278147,0.1951580516719477,1.0,0.29239601351397787,0.0,-8.044630722332537,3
RBF_I,concept,moderate,adwin,oracle_rows,0.021443868285048667,0.021616653329476414,0.020492550295421408,0.011193740574822844,-0.5794535464278147,-0.03765929652482031,1.0,0.0,-0.3333333333333333,0.5917222636671772,3
RBF_I,concept,moderate,adwin,random_blocks,-0.02881407928306649,-0.028861605040657528,-0.028160087591647454,-0.02068224634036775,-0.12851828194698803,0.2845402897779905,0.38523301668775484,0.4013656355198234,-0.3333333333333333,-6.795784083332667,3
RBF_I,concept,moderate,adwin,random_rows,-0.005638659730221114,-0.006056141605856584,-0.007197866694004869,-0.00515043537363639,-0.022535603403120035,0.1230605718257645,0.15090952688938922,0.15048839310512138,1.3333333333333333,-8.638549958333291,3
RBF_I,concept,moderate,d3_oof,learned_features,0.005174808711919924,0.004542611337165677,0.00374148203407502,0.001566030011643386,-0.044428206450173646,0.016193851016095894,0.0641399005753072,0.05645985590890396,0.0,1.025129917000715,3
RBF_I,concept,moderate,d3_oof,learned_features_label,0.013844040222991053,0.012947367506885668,0.013572007518933948,0.006643144408131481,0.036311078834675214,-0.032912129458177626,0.032954848416610366,0.025723317016259267,-0.3333333333333333,2.2556914166671014,3
RBF_I,concept,moderate,d3_oof,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
RBF_I,concept,moderate,d3_oof,oracle_blocks,-0.004106955151048863,-0.004407161222705532,-0.004628979251927623,-0.00175882567193227,-0.6900857643626955,0.23226899896216846,1.0,0.29239601351397787,-0.3333333333333333,-6.412115569999515,3
RBF_I,concept,moderate,d3_oof,oracle_rows,0.014729634832657731,0.014018131430196923,0.01304835234045417,0.010455583037305724,-0.6900857643626955,-0.036333380007085934,1.0,0.0,-0.3333333333333333,-0.3851567779990243,3
RBF_I,concept,moderate,d3_oof,random_blocks,-0.027065148379539144,-0.027803115400553358,-0.027342466855801478,-0.018898561962675513,-0.20568046601962983,0.28661149973289973,0.38523301668775484,0.4013656355198234,-0.3333333333333333,-6.249144486665805,3
