stream,mode,level,detector,filter,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,scored_resets,total_seconds
RBF_I,clean,none,adwin,learned_features,0.6607834848164589,0.6594732912567643,0.658609273504451,0.8572995615235891,,0.2678743042344818,,0.055430141619108,0.6666666666666666,25.28121922199898
RBF_I,clean,none,adwin,learned_features_label,0.6666103008525329,0.6657808813648497,0.6658853398801283,0.8604327702455158,,0.26284224617769325,,0.025177200028182908,0.3333333333333333,27.11115801399986
RBF_I,clean,none,adwin,none,0.6880011273162827,0.6870581595475339,0.6865706175403394,0.8720279951409706,,0.21820615796519408,,0.0,0.3333333333333333,27.75047848600055
RBF_I,clean,none,adwin,oracle_blocks,0.6880011273162827,0.6870581595475339,0.6865706175403394,0.8720279951409706,,0.21820615796519408,,0.0,0.3333333333333333,28.121183000333378
RBF_I,clean,none,adwin,oracle_rows,0.6880011273162827,0.6870581595475339,0.6865706175403394,0.8720279951409706,,0.21820615796519408,,0.0,0.3333333333333333,27.82470909766683
RBF_I,clean,none,adwin,random_blocks,0.6880011273162827,0.6870581595475339,0.6865706175403394,0.8720279951409706,,0.21820615796519408,,0.0,0.3333333333333333,28.476446763999775
RBF_I,clean,none,adwin,random_rows,0.6880011273162827,0.6870581595475339,0.6865706175403394,0.8720279951409706,,0.21820615796519408,,0.0,0.3333333333333333,27.783407444666107
RBF_I,clean,none,d3_oof,learned_features,0.6688184316212218,0.6684228949385123,0.667839771359045,0.8629233278368694,,0.21777636863242444,,0.055430141619108,0.0,27.521583666999504
RBF_I,clean,none,d3_oof,learned_features_label,0.6701317550905376,0.6696248916826121,0.6696832520072212,0.8610531028550209,,0.23413090960332558,,0.025177200028182908,0.3333333333333333,27.647706181000103
RBF_I,clean,none,d3_oof,none,0.6873599661805114,0.6864430442176057,0.6858299201078454,0.872513500418957,,0.1994645247657296,,0.0,0.6666666666666666,33.509534222333365
RBF_I,clean,none,d3_oof,oracle_blocks,0.6873599661805114,0.6864430442176057,0.6858299201078454,0.872513500418957,,0.1994645247657296,,0.0,0.6666666666666666,26.13157283333324
RBF_I,clean,none,d3_oof,oracle_rows,0.6873599661805114,0.6864430442176057,0.6858299201078454,0.872513500418957,,0.1994645247657296,,0.0,0.6666666666666666,27.452627041666346
RBF_I,clean,none,d3_oof,random_blocks,0.6873599661805114,0.6864430442176057,0.6858299201078454,0.872513500418957,,0.1994645247657296,,0.0,0.6666666666666666,26.052487458332205
RBF_I,clean,none,d3_oof,random_rows,0.6873599661805114,0.6864430442176057,0.6858299201078454,0.872513500418957,,0.1994645247657296,,0.0,0.6666666666666666,26.43228780566642
RBF_I,clean,none,hddm_w,learned_features,0.6558289297541041,0.6550010922823982,0.6554274636580865,0.8545027119724894,,0.3157711547946171,,0.055430141619108,1.6666666666666667,24.066187583333278
RBF_I,clean,none,hddm_w,learned_features_label,0.6630888466145283,0.6624315846069325,0.6627107980933545,0.8589550291888948,,0.27957725639399705,,0.025177200028182908,1.0,26.36128244499984
RBF_I,clean,none,hddm_w,none,0.67906855492144,0.6783713674815249,0.6779768207458323,0.8668942492634363,,0.24497991967871488,,0.0,0.3333333333333333,35.61121594466689
RBF_I,clean,none,hddm_w,oracle_blocks,0.67906855492144,0.6783713674815249,0.6779768207458323,0.8668942492634363,,0.24497991967871488,,0.0,0.3333333333333333,29.659898250332844
RBF_I,clean,none,hddm_w,oracle_rows,0.67906855492144,0.6783713674815249,0.6779768207458323,0.8668942492634363,,0.24497991967871488,,0.0,0.3333333333333333,29.725449972000813
RBF_I,clean,none,hddm_w,random_blocks,0.67906855492144,0.6783713674815249,0.6779768207458323,0.8668942492634363,,0.24497991967871488,,0.0,0.3333333333333333,28.575560722666825
