stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,experiment,method,fitting_seed,detector,shared_detector_reference,resets_per_100k,training_visits_per_100k,scoring_mask_sha256,source_summary,source_sha256
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,E1_fixed,confirmed_screened,,d3_oof,False,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/confirmed_screened/summary.json,50adddcdcc8118d909a87f52a999d2bf4e0a9edcb3e0f60468ab83c94c5c1f04
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,E2_RL,confirmed_screened,,d3_oof,False,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/confirmed_screened/summary.json,50adddcdcc8118d909a87f52a999d2bf4e0a9edcb3e0f60468ab83c94c5c1f04
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,E1_fixed,immediate_screened,,d3_oof,False,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/immediate_screened/summary.json,53d9d41d3a8dcd85d77afdef5bf2df45c634bf45ff221a1e32f552daf9a28262
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,E1_fixed,confirmed_unscreened,,d3_oof,False,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/confirmed_unscreened/summary.json,27be566fbc3962855990e37c85667917643a7054ca07ea0d8ab59ed7ea67b3f1
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,E1_fixed,none_unscreened,,none,True,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/none/SEA_A__s9913__clean__none/none_unscreened/summary.json,d9510b68467edb1b3b46881c1e92e2cc758c5a62061f2f71160ce467a12210e0
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,E1_fixed,none_screened,,none,True,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/none/SEA_A__s9913__clean__none/none_screened/summary.json,4717097fcc65e730ecfd366d583bfd10ca3d2f66b07d7389c3c9fd1a73342440
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,E2_RL,none_screened,,none,True,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/none/SEA_A__s9913__clean__none/none_screened/summary.json,4717097fcc65e730ecfd366d583bfd10ca3d2f66b07d7389c3c9fd1a73342440
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,E1_fixed,immediate_unscreened,,hellinger,False,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hellinger/SEA_A__s9913__clean__none/immediate_unscreened/summary.json,798931a4ff69ef0dd534bd67ff71a3c8c7de71f3a5912f83e899a8f964b326eb
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,E1_fixed,confirmed_screened,,hellinger,False,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hellinger/SEA_A__s9913__clean__none/confirmed_screened/summary.json,3596f13665351cc20ae9ed0cd5081f305718eb183826a4e1c09baa41a6556204
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,E2_RL,confirmed_screened,,hellinger,False,0.0,95000.0,803d782e3a082c61bf0fa98d4e83f633d3eba1ca36647537cbcb66a7af756504,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hellinger/SEA_A__s9913__clean__none/confirmed_screened/summary.json,3596f13665351cc20ae9ed0cd5081f305718eb183826a4e1c09baa41a6556204
