stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / confirmed_unscreened,E3_filter / confirmed_screened_filter_random_rows,cross_experiment,0.010658749614114837,0.011387559808612446,,-0.2727272727272727,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / confirmed_unscreened,E3_filter / none_screened_filter_learned_features,cross_experiment,0.008901420601474586,0.008535885167464119,,-0.3731866028708134,,,8.333333333333334,19550.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / confirmed_unscreened,E3_filter / none_screened_filter_learned_features_label,cross_experiment,0.008071175810065334,0.013186602870813413,,-0.366066985645933,,,8.333333333333334,20541.66666666667
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / confirmed_unscreened,E3_filter / none_screened_filter_none,cross_experiment,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,8.333333333333334,15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E2_RL / RL_2state,cross_experiment,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E2_RL / RL_4state,cross_experiment,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E2_RL / confirmed_screened,cross_experiment,0.029626943595776167,0.024880382775119614,,0.09090909090909094,,,0.0,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E2_RL / error_rule,cross_experiment,-0.0022472726866588633,-0.0038277511961722355,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E2_RL / none_screened,cross_experiment,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E2_RL / selected_map,cross_experiment,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / confirmed_screened_filter_learned_features,cross_experiment,0.021017165250886427,0.016191387559808645,,0.059636363636363654,,,0.0,-11343.333333333328
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / confirmed_screened_filter_learned_features_label,cross_experiment,0.027039369791726664,0.02667942583732058,,0.049779904306220146,,,3.333333333333334,-4368.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / confirmed_screened_filter_none,cross_experiment,0.029626943595776167,0.024880382775119614,,0.09090909090909094,,,0.0,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / confirmed_screened_filter_oracle_blocks,cross_experiment,0.029626943595776167,0.024880382775119614,,0.09090909090909094,,,0.0,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / confirmed_screened_filter_oracle_rows,cross_experiment,0.029626943595776167,0.024880382775119614,,0.09090909090909094,,,0.0,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / confirmed_screened_filter_random_blocks,cross_experiment,0.029626943595776167,0.024880382775119614,,0.09090909090909094,,,0.0,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / confirmed_screened_filter_random_rows,cross_experiment,0.029626943595776167,0.024880382775119614,,0.09090909090909094,,,0.0,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / none_screened_filter_learned_features,cross_experiment,0.027869614583135915,0.022028708133971286,,-0.009550239234449753,,,8.333333333333334,3716.666666666657
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / none_screened_filter_learned_features_label,cross_experiment,0.027039369791726664,0.02667942583732058,,-0.0024306220095693387,,,8.333333333333334,4708.3333333333285
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_screened,E3_filter / none_screened_filter_none,cross_experiment,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E2_RL / RL_2state,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.36363636363636365,,,41.66666666666667,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E2_RL / RL_4state,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.36363636363636365,,,41.66666666666667,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E2_RL / confirmed_screened,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.2727272727272727,,,33.333333333333336,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E2_RL / error_rule,cross_experiment,0.10821652750597177,0.10650717703349283,,-0.36363636363636365,,,33.333333333333336,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E2_RL / none_screened,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.36363636363636365,,,41.66666666666667,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E2_RL / selected_map,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.36363636363636365,,,41.66666666666667,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / confirmed_screened_filter_learned_features,cross_experiment,0.13148096544351706,0.1265263157894737,,-0.304,,,33.333333333333336,-11343.333333333328
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / confirmed_screened_filter_learned_features_label,cross_experiment,0.1375031699843573,0.13701435406698564,,-0.3138564593301435,,,36.66666666666667,-4368.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / confirmed_screened_filter_none,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.2727272727272727,,,33.333333333333336,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / confirmed_screened_filter_oracle_blocks,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.2727272727272727,,,33.333333333333336,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / confirmed_screened_filter_oracle_rows,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.2727272727272727,,,33.333333333333336,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / confirmed_screened_filter_random_blocks,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.2727272727272727,,,33.333333333333336,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / confirmed_screened_filter_random_rows,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.2727272727272727,,,33.333333333333336,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / none_screened_filter_learned_features,cross_experiment,0.13833341477576655,0.13236363636363635,,-0.3731866028708134,,,41.66666666666667,3716.666666666657
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / none_screened_filter_learned_features_label,cross_experiment,0.1375031699843573,0.13701435406698564,,-0.366066985645933,,,41.66666666666667,4708.3333333333285
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / immediate_unscreened,E3_filter / none_screened_filter_none,cross_experiment,0.1400907437884068,0.13521531100478468,,-0.36363636363636365,,,41.66666666666667,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / none_screened,E2_RL / RL_2state,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / none_screened,E2_RL / RL_4state,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / none_screened,E2_RL / confirmed_screened,cross_experiment,0.0,0.0,,0.09090909090909094,,,-8.333333333333334,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E1_fixed / none_screened,E2_RL / error_rule,cross_experiment,-0.03187421628243503,-0.02870813397129185,,0.0,,,-8.333333333333334,0.0
