experiment,stream,condition,mode,level,detector,method,shared_detector_reference,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_screened,False,0.35235027949590225,0.3585645933014354,,0.2727272727272727,,,8.333333333333334,110833.33333333334
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_unscreened,False,0.3630090291100171,0.36995215311004787,,0.0,,,8.333333333333334,110833.33333333334
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,immediate_screened,False,0.3819772230916784,0.38344497607655503,,0.36363636363636365,,,8.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,immediate_unscreened,False,0.49244102328430905,0.4937799043062201,,0.0,,,41.66666666666667,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,none_screened,True,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,none_unscreened,True,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_screened,False,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_unscreened,False,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,immediate_screened,False,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,immediate_unscreened,False,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,none_screened,True,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,none_unscreened,True,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_screened,False,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_unscreened,False,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,immediate_screened,False,0.3778938157428866,0.37971291866028706,,0.45454545454545453,,,8.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,immediate_unscreened,False,0.48820084840224864,0.48899521531100476,,0.0,,,58.333333333333336,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,none_screened,True,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,none_unscreened,True,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_screened,False,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_unscreened,False,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,immediate_screened,False,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,immediate_unscreened,False,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,none_screened,True,0.35235027949590225,0.3585645933014354,,0.36363636363636365,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,none_unscreened,True,0.3630090291100171,0.36995215311004787,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_screened,False,0.33479347114531915,0.3475598086124402,0.6211748153359128,0.35795977389246747,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_unscreened,False,0.31277587835964565,0.33043062200956935,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,immediate_screened,False,0.4376732218584368,0.4382775119617225,0.8111150193457615,0.17917707374786382,,,16.666666666666668,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,immediate_unscreened,False,0.4251229974787612,0.430622009569378,1.0,0.0,,,25.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,none_screened,True,0.33479347114531915,0.3475598086124402,0.6211748153359128,0.35795977389246747,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,none_unscreened,True,0.31277587835964565,0.33043062200956935,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_screened,False,0.33479347114531915,0.3475598086124402,0.6211748153359128,0.35795977389246747,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_unscreened,False,0.31277587835964565,0.33043062200956935,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,immediate_screened,False,0.33479347114531915,0.3475598086124402,0.6211748153359128,0.35795977389246747,,,0.0,95000.0
