condition,stream,mode,level,base_key,attack_seed,detector,filter,activation_row,host_rows,accuracy,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,filter_inference_seconds,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,total_seconds,scored_resets
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,none,1000,236550,0.9259015007398013,0.9264813506800185,0.9134317584602989,0.9192386532945847,,,,0.9360244310802134,0.9224634195172402,,0.13654618473895583,,0.0,0.0,0,250000,241300,209000,5700,2,5.387147041999924,False,12500,confirmed,True,5.387147041999924,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,oracle_rows,1000,236550,0.9259015007398013,0.9264813506800185,0.9134317584602989,0.9192386532945847,,,,0.9360244310802134,0.9224634195172402,,0.13654618473895583,,0.0,0.0,0,250000,241300,209000,5700,2,5.064161542000875,False,12500,confirmed,True,5.064161542000875,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,random_rows,1000,236550,0.9259015007398013,0.9264813506800185,0.9134317584602989,0.9192386532945847,,,,0.9360244310802134,0.9224634195172402,,0.13654618473895583,,0.0,0.0,0,250000,241300,209000,5700,2,5.303439625000465,False,12500,confirmed,True,5.303439625000465,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,oracle_blocks,1000,236550,0.9259015007398013,0.9264813506800185,0.9134317584602989,0.9192386532945847,,,,0.9360244310802134,0.9224634195172402,,0.13654618473895583,,0.0,0.0,0,250000,241300,209000,5700,2,5.117197999999917,False,12500,confirmed,True,5.117197999999917,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,random_blocks,1000,236550,0.9259015007398013,0.9264813506800185,0.9134317584602989,0.9192386532945847,,,,0.9360244310802134,0.9224634195172402,,0.13654618473895583,,0.0,0.0,0,250000,241300,209000,5700,2,5.3351958750008635,False,12500,confirmed,True,5.3351958750008635,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,learned_features,1000,236550,0.9244430352990911,0.9252289797894089,0.9115234688025263,0.9175863069509667,,,,0.935095668660904,0.9196630840677624,,0.1676432043965335,,0.04924540266328472,0.28603599999951257,11649,250000,229478,201471,5448,2,5.268466833000275,False,12500,confirmed,True,5.554502832999788,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,learned_features_label,1000,236550,0.9265017966603255,0.9261079659921161,0.9150796684480658,0.9200699592249707,,,,0.9342350185542605,0.9212470982742267,,0.1334432466708941,,0.04933417882054534,0.2906918749995384,11670,250000,229433,208648,5421,2,4.613726084000518,False,12500,confirmed,True,4.904417959000057,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,none,1000,236550,0.9243077573451701,0.9225269823141599,0.9139326870922824,0.9178996275798275,,,,0.9355522483802279,0.9210045014402949,,0.10040160642570281,,0.0,0.0,0,250000,239400,215650,2850,1,6.098493249999592,False,12500,confirmed,True,6.098493249999592,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,oracle_rows,1000,236550,0.9243077573451701,0.9225269823141599,0.9139326870922824,0.9178996275798275,,,,0.9355522483802279,0.9210045014402949,,0.10040160642570281,,0.0,0.0,0,250000,239400,215650,2850,1,6.123260790998756,False,12500,confirmed,True,6.123260790998756,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,random_rows,1000,236550,0.9243077573451701,0.9225269823141599,0.9139326870922824,0.9178996275798275,,,,0.9355522483802279,0.9210045014402949,,0.10040160642570281,,0.0,0.0,0,250000,239400,215650,2850,1,6.038485041999593,False,12500,confirmed,True,6.038485041999593,1
