condition,stream,mode,level,base_key,attack_seed,detector,filter,activation_row,host_rows,accuracy,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,filter_inference_seconds,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,total_seconds,scored_resets
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,oracle_blocks,1000,236550,0.9243077573451701,0.9225269823141599,0.9139326870922824,0.9178996275798275,,,,0.9355522483802279,0.9210045014402949,,0.10040160642570281,,0.0,0.0,0,250000,239400,215650,2850,1,6.0196295410005405,False,12500,confirmed,True,6.0196295410005405,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,random_blocks,1000,236550,0.9243077573451701,0.9225269823141599,0.9139326870922824,0.9178996275798275,,,,0.9355522483802279,0.9210045014402949,,0.10040160642570281,,0.0,0.0,0,250000,239400,215650,2850,1,5.948050541999692,False,12500,confirmed,True,5.948050541999692,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,learned_features,1000,236550,0.9214880574931305,0.9191631151463879,0.9112058723047668,0.9148962703525585,,,,0.9346140748847984,0.9184287140002851,,0.1409427182413866,,0.04924540266328472,0.28603599999951257,11649,250000,227673,205070,2737,1,5.945290124998792,False,12500,confirmed,True,6.231326124998304,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,learned_features_label,1000,236550,0.8967533291058972,0.9024731895460598,0.8746679123743,0.8854843297695388,,,,0.9273699313912993,0.9125062557805657,,0.13731557810188122,,0.04933417882054534,0.2906918749995384,11670,250000,225830,205018,0,0,5.944857292000961,False,12500,confirmed,True,6.235549167000499,0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,none,1000,236550,0.9148467554428239,0.9172034578683494,0.8988082685701816,0.906609416564458,,,,0.9326950394286215,0.9189349100784847,,0.14056224899598393,,0.0,0.0,0,250000,243200,208050,5700,2,5.24923595799919,False,12500,confirmed,True,5.24923595799919,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,oracle_rows,1000,236550,0.9148467554428239,0.9172034578683494,0.8988082685701816,0.906609416564458,,,,0.9326950394286215,0.9189349100784847,,0.14056224899598393,,0.0,0.0,0,250000,243200,208050,5700,2,5.260483125000974,False,12500,confirmed,True,5.260483125000974,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,random_rows,1000,236550,0.9148467554428239,0.9172034578683494,0.8988082685701816,0.906609416564458,,,,0.9326950394286215,0.9189349100784847,,0.14056224899598393,,0.0,0.0,0,250000,243200,208050,5700,2,5.217373458999646,False,12500,confirmed,True,5.217373458999646,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,oracle_blocks,1000,236550,0.9148467554428239,0.9172034578683494,0.8988082685701816,0.906609416564458,,,,0.9326950394286215,0.9189349100784847,,0.14056224899598393,,0.0,0.0,0,250000,243200,208050,5700,2,5.163261792000412,False,12500,confirmed,True,5.163261792000412,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,random_blocks,1000,236550,0.9148467554428239,0.9172034578683494,0.8988082685701816,0.906609416564458,,,,0.9326950394286215,0.9189349100784847,,0.14056224899598393,,0.0,0.0,0,250000,243200,208050,5700,2,5.149455749999106,False,12500,confirmed,True,5.149455749999106,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,learned_features,1000,236550,0.9139801310505179,0.9187905108421877,0.8957746088412226,0.9051923419224359,,,,0.9330487886822587,0.9194272764632898,,0.14062566053688438,,0.04924540266328472,0.28603599999951257,11649,250000,229461,207845,5408,2,5.994586999999228,False,12500,confirmed,True,6.280622999998741,2
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,learned_features_label,1000,236550,0.8967533291058972,0.9024731895460598,0.8746679123743,0.8854843297695388,,,,0.9273699313912993,0.9125062557805657,,0.13731557810188122,,0.04933417882054534,0.2906918749995384,11670,250000,225830,205018,0,0,5.663529750001544,False,12500,confirmed,True,5.954221625001082,0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,none,1000,236550,0.9139082646374973,0.9183584534319801,0.8959726554335833,0.9051751786298287,,,,0.9325905368462264,0.9185818607713033,,0.13654618473895583,,0.0,0.0,0,250000,239400,207100,2850,1,7.075234334000925,False,12500,confirmed,True,7.075234334000925,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,oracle_rows,1000,236550,0.9139082646374973,0.9183584534319801,0.8959726554335833,0.9051751786298287,,,,0.9325905368462264,0.9185818607713033,,0.13654618473895583,,0.0,0.0,0,250000,239400,207100,2850,1,6.912010165999163,False,12500,confirmed,True,6.912010165999163,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,random_rows,1000,236550,0.9139082646374973,0.9183584534319801,0.8959726554335833,0.9051751786298287,,,,0.9325905368462264,0.9185818607713033,,0.13654618473895583,,0.0,0.0,0,250000,239400,207100,2850,1,7.059447000001455,False,12500,confirmed,True,7.059447000001455,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,oracle_blocks,1000,236550,0.9139082646374973,0.9183584534319801,0.8959726554335833,0.9051751786298287,,,,0.9325905368462264,0.9185818607713033,,0.13654618473895583,,0.0,0.0,0,250000,239400,207100,2850,1,7.2116235840003355,False,12500,confirmed,True,7.2116235840003355,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,random_blocks,1000,236550,0.9139082646374973,0.9183584534319801,0.8959726554335833,0.9051751786298287,,,,0.9325905368462264,0.9185818607713033,,0.13654618473895583,,0.0,0.0,0,250000,239400,207100,2850,1,6.979991416999837,False,12500,confirmed,True,6.979991416999837,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,learned_features,1000,236550,0.9135066582117946,0.9183593416334428,0.8951827135748369,0.9046515541960716,,,,0.932721066935416,0.9179891408980494,,0.1601141407736208,,0.04924540266328472,0.28603599999951257,11649,250000,227649,201423,2696,1,6.89729345899832,False,12500,confirmed,True,7.183329458997832,1
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,learned_features_label,1000,236550,0.8967533291058972,0.9024731895460598,0.8746679123743,0.8854843297695388,,,,0.9273699313912993,0.9125062557805657,,0.13731557810188122,,0.04933417882054534,0.2906918749995384,11670,250000,225830,205018,0,0,6.264934499999072,False,12500,confirmed,True,6.55562637499861,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,adwin,none,1000,177198,0.9224426912267633,0.9213728672264829,0.9105979538679498,0.9154877491167701,,,,0.9343718269828105,0.9198180189153378,0.818557083164847,0.14831431505998938,0.0,0.0,0.0,0,250000,245100,204250,5700,2,4.99831925000035,False,12500,confirmed,True,4.99831925000035,2
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,adwin,oracle_rows,1000,177198,0.9246379755979187,0.9240975493429202,0.9126583136347932,0.9178255788917258,,,,0.9345300027258135,0.9212127267016548,0.0,0.10421110847752232,1.0,0.0,0.0,59352,250000,181193,162727,4633,2,4.233211916000073,False,12500,confirmed,True,4.233211916000073,2
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,adwin,random_rows,1000,177198,0.9173297667016558,0.9154287081357932,0.9054120460562625,0.9099784563099693,,,,0.9307512852006714,0.9134033323346235,0.6344689311227928,0.36519035203557604,0.24956193557083164,0.25135723879502025,0.0,59352,250000,182415,153962,4293,2,4.100278500000059,True,12500,confirmed,True,4.100278500000059,2
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,adwin,oracle_blocks,1000,177198,0.8901793473966975,0.8998338834734417,0.8634801461475137,0.8767456223995768,,,,0.9161390698961087,0.9039419028251551,0.0,0.7480219867041389,1.0,0.7104933464260319,0.0,185250,250000,52250,45600,0,0,2.9418266669999866,False,12500,confirmed,True,2.9418266669999866,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,adwin,random_blocks,1000,177198,0.9005124211334213,0.9044607779531331,0.8799989219065627,0.8898370716438428,,,,0.9266500148550618,0.9145166677362297,0.15549602372287372,0.8429948419282385,0.7930651031136272,0.7798056411471913,0.0,185250,250000,52250,38000,0,0,2.42299179100155,False,12500,confirmed,True,2.42299179100155,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,adwin,learned_features,1000,177198,0.9209810494475107,0.9203955028305453,0.9083766089364864,0.9137725577930726,,,,0.934507235353186,0.9195104834238386,0.7958114301118749,0.16040248761272702,0.050023588084647526,0.04926692174855247,0.26035412500095845,11699,250000,233048,200584,5444,2,5.123486583001068,False,12500,confirmed,True,5.383840708002026,2
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,adwin,learned_features_label,1000,177198,0.911517060011964,0.9130073378173633,0.8951889926734362,0.9027907249593801,,,,0.9292834586879111,0.9157956693269179,0.8957238172260412,0.10186909558798632,0.048490362582558295,0.049108906421065704,0.29700141700050153,11580,250000,229553,215077,2712,1,4.815115332999994,False,12500,confirmed,True,5.112116750000496,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hddm_w,none,1000,177198,0.9179787582252621,0.9148207501675054,0.9075929488075887,0.9109693009706168,,,,0.9334898302077861,0.9183665462899192,0.8605438738374444,0.1141265702773169,0.0,0.0,0.0,0,250000,241300,210900,2850,1,5.7413138749998325,False,12500,confirmed,True,5.7413138749998325,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hddm_w,oracle_rows,1000,177198,0.9218952809851128,0.9185541280341385,0.912457965307562,0.9153370505036007,,,,0.9344996139864158,0.9208308839564373,0.0,0.061219652592015714,1.0,0.0,0.0,59352,250000,179688,168128,2253,1,4.8865684590000456,False,12500,confirmed,True,4.8865684590000456,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hddm_w,random_rows,1000,177198,0.9025158297497714,0.9024094364057664,0.8859524911158136,0.8930123838072186,,,,0.9290191377834822,0.9107606112413548,0.6674080064698746,0.3249077303355568,0.24956193557083164,0.25135723879502025,0.0,59352,250000,178148,160187,0,0,6.11689691599895,False,12500,confirmed,True,6.11689691599895,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hddm_w,oracle_blocks,1000,177198,0.8901793473966975,0.8998338834734417,0.8634801461475137,0.8767456223995768,,,,0.9161390698961087,0.9039419028251551,0.0,0.7480219867041389,1.0,0.7104933464260319,0.0,185250,250000,52250,45600,0,0,2.8758245419994637,False,12500,confirmed,True,2.8758245419994637,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hddm_w,random_blocks,1000,177198,0.9005124211334213,0.9044607779531331,0.8799989219065627,0.8898370716438428,,,,0.9266500148550618,0.9145166677362297,0.15549602372287372,0.8429948419282385,0.7930651031136272,0.7798056411471913,0.0,185250,250000,52250,38000,0,0,2.4821147919992654,False,12500,confirmed,True,2.4821147919992654,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hddm_w,learned_features,1000,177198,0.901460513098342,0.9034059905986229,0.8828105021069759,0.8913505516484765,,,,0.9306351608409444,0.9145006912599518,0.8312441029788381,0.11628799422115374,0.050023588084647526,0.04926692174855247,0.26035412500095845,11699,250000,225801,206878,0,0,7.766880709001271,False,12500,confirmed,True,8.027234834002229,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hddm_w,learned_features_label,1000,177198,0.9040056885517895,0.905118577001889,0.8865892142850172,0.8944130575636897,,,,0.9267798187096916,0.912295129878894,0.8982679606415959,0.09752931748665335,0.048490362582558295,0.049108906421065704,0.29700141700050153,11580,250000,225920,214180,0,0,5.9154948750001495,False,12500,confirmed,True,6.212496292000651,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hellinger,none,1000,177198,0.9143613359067259,0.9156927716036938,0.8987092485512631,0.906014408452191,,,,0.9330971159865047,0.9191717806078592,0.8394999326054724,0.14460659826860348,0.0,0.0,0.0,0,250000,243200,205200,5700,2,6.006697917000565,False,12500,confirmed,True,6.006697917000565,2
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hellinger,oracle_rows,1000,177198,0.9009751803067755,0.9042883145742304,0.8810692432642526,0.8904998121899399,,,,0.9276447905213384,0.913862171973159,0.0,0.07731464237745347,1.0,0.0,0.0,59352,250000,179957,166257,2466,1,5.888386874999924,False,12500,confirmed,True,5.888386874999924,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hellinger,random_rows,1000,177198,0.9171322475422973,0.9166031912059476,0.9037590702475449,0.9094776038105281,,,,0.932819265991522,0.9163781260921069,0.585692141798086,0.4015620943802977,0.24956193557083164,0.25135723879502025,0.0,59352,250000,183900,146071,6443,3,3.834027082999455,True,12500,confirmed,True,3.834027082999455,3
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hellinger,oracle_blocks,1000,177198,0.8901793473966975,0.8998338834734417,0.8634801461475137,0.8767456223995768,,,,0.9161390698961087,0.9039419028251551,0.0,0.7480219867041389,1.0,0.7104933464260319,0.0,185250,250000,52250,45600,0,0,2.899726790999921,False,12500,confirmed,True,2.899726790999921,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hellinger,random_blocks,1000,177198,0.9005124211334213,0.9044607779531331,0.8799989219065627,0.8898370716438428,,,,0.9266500148550618,0.9145166677362297,0.15549602372287372,0.8429948419282385,0.7930651031136272,0.7798056411471913,0.0,185250,250000,52250,38000,0,0,2.357081082998775,False,12500,confirmed,True,2.357081082998775,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hellinger,learned_features,1000,177198,0.9125780200679466,0.913723633073295,0.8967608637253517,0.9040509020018256,,,,0.9321827701426562,0.9166985854242486,0.8364671788650762,0.13337622320793688,0.050023588084647526,0.04926692174855247,0.26035412500095845,11699,250000,227598,205957,2695,1,5.957479667000371,False,12500,confirmed,True,6.217833792001329,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,hellinger,learned_features_label,1000,177198,0.9128545468910484,0.9143903800000034,0.8967367697575745,0.9042839274400327,,,,0.9292690831101645,0.9157017374722416,0.8856314867232781,0.11382182643144957,0.048490362582558295,0.049108906421065704,0.29700141700050153,11580,250000,227731,212354,2700,1,4.778638499999943,True,12500,confirmed,True,5.075639917000444,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,d3_oof,none,1000,177198,0.9042878587794445,0.9050940678528558,0.8872065204858538,0.8947996553825945,,,,0.9311539967181335,0.9162714595214893,0.9295727186952419,0.07291278682603641,0.0,0.0,0.0,0,250000,237500,220400,0,0,8.416876707999108,False,12500,confirmed,True,8.416876707999108,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,d3_oof,oracle_rows,1000,177198,0.9208568945473425,0.9176102134846462,0.911114081472846,0.9141704991350296,,,,0.9344463822609008,0.9206644158150343,0.0,0.07917696587997607,1.0,0.0,0.0,59352,250000,179806,165776,2370,1,5.066899333000038,False,12500,confirmed,True,5.066899333000038,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,d3_oof,random_rows,1000,177198,0.9120249664217429,0.9137055375731142,0.8956224622572924,0.9033235633549316,,,,0.9315134505669386,0.9139830550905874,0.6501044615177247,0.35857063849479115,0.24956193557083164,0.25135723879502025,0.0,59352,250000,179608,154655,2174,1,5.2498124159992585,False,12500,confirmed,True,5.2498124159992585,1
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,d3_oof,oracle_blocks,1000,177198,0.8901793473966975,0.8998338834734417,0.8634801461475137,0.8767456223995768,,,,0.9161390698961087,0.9039419028251551,0.0,0.7480219867041389,1.0,0.7104933464260319,0.0,185250,250000,52250,45600,0,0,2.972418208999443,False,12500,confirmed,True,2.972418208999443,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,d3_oof,random_blocks,1000,177198,0.9005124211334213,0.9044607779531331,0.8799989219065627,0.8898370716438428,,,,0.9266500148550618,0.9145166677362297,0.15549602372287372,0.8429948419282385,0.7930651031136272,0.7798056411471913,0.0,185250,250000,52250,38000,0,0,2.504980207999324,False,12500,confirmed,True,2.504980207999324,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,d3_oof,learned_features,1000,177198,0.9019119854625899,0.9037850042701921,0.8834127929631624,0.8918778771765246,,,,0.9310465854592054,0.9152365112940314,0.8613863054319989,0.10604521495727942,0.050023588084647526,0.04926692174855247,0.26035412500095845,11699,250000,227595,210482,0,0,8.107078333001482,False,12500,confirmed,True,8.36743245800244,0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,0.0,d3_oof,learned_features_label,1000,177198,0.9040056885517895,0.905118577001889,0.8865892142850172,0.8944130575636897,,,,0.9267798187096916,0.912295129878894,0.8982679606415959,0.09752931748665335,0.048490362582558295,0.049108906421065704,0.29700141700050153,11580,250000,225920,214180,0,0,6.124906957998974,False,12500,confirmed,True,6.421908374999475,0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,adwin,none,1000,200920,0.9221132789169819,0.9212220490712032,0.9103560697381593,0.9152734091156165,,,,0.9353380647975765,0.9222835378404801,0.8130788661240528,0.17489548078837347,0.0,0.0,0.0,0,250000,245100,200450,8550,3,5.037975166000251,False,12500,confirmed,True,5.037975166000251,3
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,adwin,oracle_rows,1000,200920,0.924129006569779,0.9246601273778665,0.9113361164681494,0.9172499482377274,,,,0.9354420366358427,0.9225721685228392,0.0,0.11359745172207844,1.0,0.0,0.0,35630,250000,205307,182483,5337,2,4.668825583999933,False,12500,confirmed,True,4.668825583999933,2
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,adwin,random_rows,1000,200920,0.9199980091578738,0.9165454147737806,0.9106922076610613,0.9134582643550067,,,,0.9343101190702319,0.9199488780784701,0.7873421274207129,0.21639956201473223,0.14984563570025258,0.1507614971132789,0.0,35630,250000,206694,188073,2434,1,5.060375749999366,False,12500,confirmed,True,5.060375749999366,1
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,adwin,oracle_blocks,1000,200920,0.9007465657973323,0.907833924429427,0.8783299076892348,0.8897178212034648,,,,0.9273150940068695,0.9124208845279049,0.0,0.5839139956201473,1.0,0.5177184949233525,0.0,139650,250000,97850,84550,0,0,3.866631959001097,False,12500,confirmed,True,3.866631959001097,0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,adwin,random_blocks,1000,200920,0.8906878359546088,0.8943918623937948,0.8689257536830564,0.8789601693696192,,,,0.9252441348914413,0.9094872552008133,0.382879595846197,0.6139856659366912,0.5878753859107494,0.5908023093768664,0.0,139650,250000,97850,92150,0,0,4.079068084000028,False,12500,confirmed,True,4.079068084000028,0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,adwin,learned_features,1000,200920,0.9221530957595063,0.9214881236676528,0.9101738455462552,0.915274957152122,,,,0.934664092815032,0.9197200466113606,0.7485826550659557,0.22004778021102928,0.04981756946393489,0.04906430420067689,0.27952954200009117,11633,250000,233094,187950,5440,2,4.847557417000644,False,12500,confirmed,True,5.127086959000735,2
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,adwin,learned_features_label,1000,200920,0.9237457694604818,0.9232238103969772,0.9119073692014933,0.9170124491015118,,,,0.9318629529935996,0.9192042501558434,0.8452147067078305,0.1391598646227354,0.051108616334549536,0.04946744973123631,0.30101687500064145,11760,250000,234752,207633,5428,2,4.459288833999381,False,12500,confirmed,True,4.760305709000022,2
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,hddm_w,none,1000,200920,0.9188134580927733,0.9157163137022075,0.9088683843310278,0.9120744968945176,,,,0.9344358365338244,0.9206421696922349,0.884339040134718,0.09769560023890106,0.0,0.0,0.0,0,250000,241300,215650,2850,1,5.954949750001106,False,12500,confirmed,True,5.954949750001106,1
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,hddm_w,oracle_rows,1000,200920,0.9217798128608401,0.919419667914313,0.9115292289344793,0.9151920943823308,,,,0.935550161647279,0.9227252816936924,0.0,0.08817937487557237,1.0,0.0,0.0,35630,250000,203648,185931,2728,1,5.382486166001399,False,12500,confirmed,True,5.382486166001399,1
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,hddm_w,random_rows,1000,200920,0.8997710531554848,0.9014943402621052,0.8814247142068459,0.889743665962665,,,,0.930280160234902,0.9147541645990386,0.7614650575357844,0.20761994823810473,0.14984563570025258,0.1507614971132789,0.0,35630,250000,201870,187286,0,0,7.177684207999846,False,12500,confirmed,True,7.177684207999846,0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,hddm_w,oracle_blocks,1000,200920,0.9007465657973323,0.907833924429427,0.8783299076892348,0.8897178212034648,,,,0.9273150940068695,0.9124208845279049,0.0,0.5839139956201473,1.0,0.5177184949233525,0.0,139650,250000,97850,84550,0,0,3.9957340829987515,False,12500,confirmed,True,3.9957340829987515,0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,hddm_w,random_blocks,1000,200920,0.8906878359546088,0.8943918623937948,0.8689257536830564,0.8789601693696192,,,,0.9252441348914413,0.9094872552008133,0.382879595846197,0.6139856659366912,0.5878753859107494,0.5908023093768664,0.0,139650,250000,97850,92150,0,0,4.137688667000475,False,12500,confirmed,True,4.137688667000475,0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,0.0,hddm_w,learned_features,1000,200920,0.918121640453912,0.9148288254182414,0.9082812520214225,0.9113545917672259,,,,0.9341409557300069,0.9189829677623795,0.8374122930115071,0.15955604220585307,0.04981756946393489,0.04906430420067689,0.27952954200009117,11633,250000,227682,200559,2730,1,5.718491375000667,False,12500,confirmed,True,5.998020917000758,1
