stream,mode,level,detector,filter,metric,mean,std,count
RBF_I,clean,none,adwin,random_rows,filter_poison_recall,,,0
RBF_I,clean,none,adwin,random_rows,legitimate_withhold_rate,0.21820615796519408,0.03119459222953421,3
RBF_I,clean,none,adwin,random_rows,macro_f1,0.6870581595475339,0.03306347515942101,3
RBF_I,clean,none,adwin,random_rows,macro_recall,0.6865706175403394,0.03208658499569124,3
RBF_I,clean,none,adwin,random_rows,poison_admission_rate,,,0
RBF_I,clean,none,adwin,random_rows,roc_auc,0.8720279951409706,0.01591107390838771,3
RBF_I,clean,none,adwin,random_rows,scored_resets,0.3333333333333333,0.5773502691896258,3
RBF_I,clean,none,adwin,random_rows,total_seconds,27.783407444666107,6.509366122639039,3
RBF_I,clean,none,d3_oof,learned_features,accuracy,0.6688184316212218,0.02437664817119765,3
RBF_I,clean,none,d3_oof,learned_features,filter_legitimate_rejection,0.055430141619108,0.013862594379256295,3
RBF_I,clean,none,d3_oof,learned_features,filter_poison_recall,,,0
RBF_I,clean,none,d3_oof,learned_features,legitimate_withhold_rate,0.21777636863242436,0.02992246584070558,3
RBF_I,clean,none,d3_oof,learned_features,macro_f1,0.6684228949385123,0.02534257711787865,3
RBF_I,clean,none,d3_oof,learned_features,macro_recall,0.667839771359045,0.024044880762099888,3
RBF_I,clean,none,d3_oof,learned_features,poison_admission_rate,,,0
RBF_I,clean,none,d3_oof,learned_features,roc_auc,0.8629233278368694,0.015346248918035321,3
RBF_I,clean,none,d3_oof,learned_features,scored_resets,0.0,0.0,3
RBF_I,clean,none,d3_oof,learned_features,total_seconds,27.521583666999504,1.0911639158908613,3
RBF_I,clean,none,d3_oof,learned_features_label,accuracy,0.6701317550905376,0.0208915528875991,3
RBF_I,clean,none,d3_oof,learned_features_label,filter_legitimate_rejection,0.02517720002818284,0.012411575407886365,3
RBF_I,clean,none,d3_oof,learned_features_label,filter_poison_recall,,,0
RBF_I,clean,none,d3_oof,learned_features_label,legitimate_withhold_rate,0.23413090960332553,0.06386080676449452,3
RBF_I,clean,none,d3_oof,learned_features_label,macro_f1,0.6696248916826121,0.020870390802558023,3
RBF_I,clean,none,d3_oof,learned_features_label,macro_recall,0.6696832520072212,0.019113972781212935,3
RBF_I,clean,none,d3_oof,learned_features_label,poison_admission_rate,,,0
RBF_I,clean,none,d3_oof,learned_features_label,roc_auc,0.8610531028550209,0.010046784394430103,3
RBF_I,clean,none,d3_oof,learned_features_label,scored_resets,0.3333333333333333,0.5773502691896258,3
RBF_I,clean,none,d3_oof,learned_features_label,total_seconds,27.647706181000103,2.222109304303734,3
RBF_I,clean,none,d3_oof,none,accuracy,0.6873599661805114,0.01607751624924287,3
RBF_I,clean,none,d3_oof,none,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,d3_oof,none,filter_poison_recall,,,0
RBF_I,clean,none,d3_oof,none,legitimate_withhold_rate,0.19946452476572954,0.016720208831053268,3
RBF_I,clean,none,d3_oof,none,macro_f1,0.6864430442176057,0.016274609240307897,3
RBF_I,clean,none,d3_oof,none,macro_recall,0.6858299201078454,0.015264851197865165,3
RBF_I,clean,none,d3_oof,none,poison_admission_rate,,,0
RBF_I,clean,none,d3_oof,none,roc_auc,0.872513500418957,0.01093862324814751,3
RBF_I,clean,none,d3_oof,none,scored_resets,0.6666666666666666,1.1547005383792517,3
RBF_I,clean,none,d3_oof,none,total_seconds,33.509534222333365,15.726907775624682,3
RBF_I,clean,none,d3_oof,oracle_blocks,accuracy,0.6873599661805114,0.01607751624924287,3
RBF_I,clean,none,d3_oof,oracle_blocks,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,d3_oof,oracle_blocks,filter_poison_recall,,,0
RBF_I,clean,none,d3_oof,oracle_blocks,legitimate_withhold_rate,0.19946452476572954,0.016720208831053268,3
RBF_I,clean,none,d3_oof,oracle_blocks,macro_f1,0.6864430442176057,0.016274609240307897,3
RBF_I,clean,none,d3_oof,oracle_blocks,macro_recall,0.6858299201078454,0.015264851197865165,3
RBF_I,clean,none,d3_oof,oracle_blocks,poison_admission_rate,,,0
RBF_I,clean,none,d3_oof,oracle_blocks,roc_auc,0.872513500418957,0.01093862324814751,3
RBF_I,clean,none,d3_oof,oracle_blocks,scored_resets,0.6666666666666666,1.1547005383792517,3
