stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,0.36363636363636365,4,11,0,0,,0,0,,1.0,3.0,3.0,1.5333333333333332,0.013307290889012318,adwin,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s9913__clean__none
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,0.18181818181818182,2,11,11,2,0.18181818181818182,0,0,,0.6666666666666666,2.0,3.0,2.2,0.013162508063639205,adwin,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s9913__instance__severe
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,0.0,0,11,0,0,,0,0,,0.0,0.0,3.0,,0.11825658293673767,d3_oof,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s9913__clean__none
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,0.0,0,11,11,0,0.0,0,0,,0.0,0.0,3.0,,0.1246229170646984,d3_oof,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s9913__instance__severe
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,0.6363636363636364,7,11,0,0,,0,0,,1.0,3.0,3.0,0.5333333333333333,0.1302083413368867,hddm_w,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/hddm_w/RBF_I__s9913__clean__none
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,0.45454545454545453,5,11,11,5,0.45454545454545453,0,0,,1.0,3.0,3.0,0.8666666666666667,0.11978196659280609,hddm_w,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,0.0,0,11,0,0,,0,0,,0.0,0.0,3.0,,0.023855225056953106,hellinger,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/hellinger/RBF_I__s9913__clean__none
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,0.0,0,11,11,0,0.0,0,0,,0.0,0.0,3.0,,0.02490554203783783,hellinger,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,0.36363636363636365,4,11,0,0,,1,0,0.0,1.0,3.0,3.0,2.369333333333333,0.013208341745970149,adwin,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s9913__clean__none
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,0.0,0,11,11,0,0.0,0,0,,0.0,0.0,3.0,,0.015213875303743407,adwin,0,complete,results/per_dataset_study/integration_full_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s9913__instance__severe
