stream,condition,mode,level,view,threshold,rows,poison_rows,prevalence,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection,tn,fp,fn,tp
RBF_I,RBF_I__s115__clean__none,clean,none,features,0.2861903875579121,56050,0,0.0,,,,0.0,0.04255129348795718,53665,2385,0,0
RBF_I,RBF_I__s115__clean__none,clean,none,features_label,0.46748374824166616,56050,0,0.0,,,,0.0,0.024121320249776985,54698,1352,0,0
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,features,0.2861903875579121,56050,8551,0.15256021409455842,0.5021711762015589,0.15307432930484383,0.03987837679803532,0.1429769392033543,0.043032484894418827,45455,2044,8210,341
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,features_label,0.46748374824166616,56050,8551,0.15256021409455842,0.5447300321575316,0.1971637372923511,0.06431996257747633,0.3262158956109134,0.02391629297458894,46363,1136,8001,550
RBF_I,RBF_I__s115__instance__severe,instance,severe,features,0.2861903875579121,56050,14252,0.2542729705619982,0.49415149874762865,0.25210362448162976,0.04223968565815324,0.2524109014675052,0.042657543423130294,40015,1783,13650,602
RBF_I,RBF_I__s115__instance__severe,instance,severe,features_label,0.46748374824166616,56050,14252,0.2542729705619982,0.5356413536539563,0.3064890614614292,0.06020207690148751,0.45614035087719296,0.024474855256232355,40775,1023,13394,858
RBF_I,RBF_I__s115__concept__moderate,concept,moderate,features,0.2861903875579121,56050,8547,0.15248884924174844,0.5284481869539654,0.16343364262607707,0.048789048789048786,0.17288557213930347,0.0419973475359451,45508,1995,8130,417
RBF_I,RBF_I__s115__concept__moderate,concept,moderate,features_label,0.46748374824166616,56050,8547,0.15248884924174844,0.5224829789804634,0.17713756273170125,0.051597051597051594,0.2759699624530663,0.024356356440645852,46346,1157,8106,441
RBF_I,RBF_I__s115__concept__severe,concept,severe,features,0.2861903875579121,56050,14198,0.25330954504906333,0.5252186837533214,0.2692567725447008,0.048880123961121284,0.2865400495458299,0.04128834942177196,40124,1728,13504,694
RBF_I,RBF_I__s115__concept__severe,concept,severe,features_label,0.46748374824166616,56050,14198,0.25330954504906333,0.5280946619334369,0.28942550277058665,0.05021834061135371,0.4184272300469484,0.023678677243620376,40861,991,13485,713
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,features,0.2861903875579121,56050,8536,0.15229259589652097,0.5105535436524425,0.15511680421912616,0.04135426429240862,0.1493231810490694,0.042324367554825944,45503,2011,8183,353
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,features_label,0.46748374824166616,56050,8536,0.15229259589652097,0.4973041007022879,0.15156197106741967,0.022375820056232426,0.14158636026686433,0.024371764111630258,46356,1158,8345,191
RBF_I,RBF_I__s115__splice__severe,splice,severe,features,0.2861903875579121,56050,14243,0.2541123996431757,0.49611936612038154,0.2525380834965703,0.04191532682721337,0.2535031847133758,0.04205037433922549,40049,1758,13646,597
RBF_I,RBF_I__s115__splice__severe,splice,severe,features_label,0.46748374824166616,56050,14243,0.2541123996431757,0.49869440972541196,0.2538484652267679,0.024854314400056168,0.26048565121412803,0.024039036524983855,40802,1005,13889,354
RBF_I,RBF_I__s116__clean__none,clean,none,features,0.2861903875579121,56050,0,0.0,,,,0.0,0.03732381801962534,53958,2092,0,0
RBF_I,RBF_I__s116__clean__none,clean,none,features_label,0.46748374824166616,56050,0,0.0,,,,0.0,0.05896520963425513,52745,3305,0,0
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,features,0.2861903875579121,56050,8561,0.1527386262265834,0.5020025945968826,0.15428742809743254,0.036327531830393646,0.14866156787762907,0.03750342184505886,45708,1781,8250,311
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,features_label,0.46748374824166616,56050,8561,0.1527386262265834,0.3247396936208583,0.10568708539171605,0.0008176614881439084,0.0024902170046246885,0.05904525258480911,44685,2804,8554,7
RBF_I,RBF_I__s116__instance__severe,instance,severe,features,0.2861903875579121,56050,14248,0.2542016057091882,0.49652768431380245,0.25201912517079433,0.03628579449747333,0.247131931166348,0.037677623080235395,40227,1575,13731,517
RBF_I,RBF_I__s116__instance__severe,instance,severe,features_label,0.46748374824166616,56050,14248,0.2542016057091882,0.32640120374705156,0.18178306551075565,0.0009825940482874789,0.0056315366049879325,0.05913592651069327,39330,2472,14234,14
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,features,0.2861903875579121,56050,8550,0.15254237288135594,0.5376965614035087,0.16743425806196746,0.04631578947368421,0.1813186813186813,0.03764210526315789,45712,1788,8154,396
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,features_label,0.46748374824166616,56050,8550,0.15254237288135594,0.5188000874115112,0.15668408727841848,0.04514619883040936,0.12544686382840428,0.05665263157894737,44809,2691,8164,386
RBF_I,RBF_I__s116__concept__severe,concept,severe,features,0.2861903875579121,56050,14244,0.25413024085637825,0.537409049882769,0.27670012484141365,0.04619488907610222,0.2946708463949843,0.03767401808352868,40231,1575,13586,658
RBF_I,RBF_I__s116__concept__severe,concept,severe,features_label,0.46748374824166616,56050,14244,0.25413024085637825,0.5130757481606613,0.25983981374392645,0.04795001404099972,0.22865751590224306,0.0551117064536191,39502,2304,13561,683
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,features,0.2861903875579121,56050,8533,0.15223907225691347,0.4949173026113255,0.1509962415750113,0.0413688034688855,0.16627414036740462,0.0372498263779279,45747,1770,8180,353
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,features_label,0.46748374824166616,56050,8533,0.15223907225691347,0.49116923892758624,0.1477488903836462,0.047697175670924644,0.1331806282722513,0.05574846896900057,44868,2649,8126,407
RBF_I,RBF_I__s116__splice__severe,splice,severe,features,0.2861903875579121,56050,14276,0.25470115967885815,0.49541904598444797,0.2518780217326509,0.037895769123003645,0.2532771535580524,0.03818164408483746,40179,1595,13735,541
RBF_I,RBF_I__s116__splice__severe,splice,severe,features_label,0.46748374824166616,56050,14276,0.25470115967885815,0.49794708656782,0.2535456150732537,0.052465676660128885,0.24549328089151098,0.055106046823382965,39472,2302,13527,749
RBF_I,RBF_I__s117__clean__none,clean,none,features,0.2861903875579121,56050,0,0.0,,,,0.0,0.047011596788581626,53415,2635,0,0
