state,action,q_value,selected,visits,mean_reward,rejected_fraction,variant,seed,detector
1,reset,1.7239103362981982,False,3,0.7933333333333333,0.3333333333333333,alarm,17,d3_oof
0,update,6.535696786018029,True,1848,0.7407034632034633,0.3024891774891775,alarm,27,d3_oof
0,reset,5.9491639880602,False,1415,0.7186713780918729,0.5243816254416961,alarm,27,d3_oof
1,update,6.3669798310401164,True,40,0.7175,0.2,alarm,27,d3_oof
1,reset,0.6082660665167778,False,1,0.98,0.0,alarm,27,d3_oof
00,update,6.28346883102505,True,1486,0.777079407806191,0.3034993270524899,alarm_persistence,7,d3_oof
00,reset,5.980383945335693,False,843,0.7516014234875446,0.4970344009489917,alarm_persistence,7,d3_oof
01,update,6.488022856254541,True,866,0.6317090069284064,0.3475750577367205,alarm_persistence,7,d3_oof
01,reset,5.68182695272446,False,71,0.5735211267605634,0.5070422535211268,alarm_persistence,7,d3_oof
10,update,5.553901709363069,True,22,0.8136363636363636,0.2272727272727272,alarm_persistence,7,d3_oof
10,reset,0.5441346515077209,False,1,0.7,1.0,alarm_persistence,7,d3_oof
11,update,0.0,False,0,,,alarm_persistence,7,d3_oof
11,reset,4.7715690170090035,True,15,0.7013333333333333,0.3333333333333333,alarm_persistence,7,d3_oof
00,update,6.168551691499317,False,1295,0.7587335907335907,0.2833976833976834,alarm_persistence,17,d3_oof
00,reset,7.137248453535331,True,1029,0.7877939747327503,0.4645286686103013,alarm_persistence,17,d3_oof
01,update,6.930993114836826,True,873,0.6357159221076747,0.2898052691867125,alarm_persistence,17,d3_oof
01,reset,5.086896960779977,False,62,0.5490322580645163,0.5967741935483871,alarm_persistence,17,d3_oof
10,update,5.572255707632246,True,25,0.6888,0.16,alarm_persistence,17,d3_oof
10,reset,1.6731641204580228,False,3,0.8066666666666666,0.6666666666666666,alarm_persistence,17,d3_oof
11,update,4.038950242713239,True,15,0.624,0.2,alarm_persistence,17,d3_oof
11,reset,1.0882173768582817,False,2,0.72,0.0,alarm_persistence,17,d3_oof
00,update,6.224710034281784,True,1063,0.7603198494825965,0.2888052681091251,alarm_persistence,27,d3_oof
00,reset,5.8858893758695325,False,1276,0.7788087774294671,0.4874608150470219,alarm_persistence,27,d3_oof
01,update,6.124819849269398,False,802,0.6296758104738155,0.3229426433915212,alarm_persistence,27,d3_oof
01,reset,6.575364131001394,True,123,0.639349593495935,0.6422764227642277,alarm_persistence,27,d3_oof
10,update,5.863050763316492,True,27,0.7370370370370369,0.1481481481481481,alarm_persistence,27,d3_oof
10,reset,0.5532915602361002,False,1,0.98,0.0,alarm_persistence,27,d3_oof
11,update,3.936581815580496,True,12,0.6999999999999998,0.25,alarm_persistence,27,d3_oof
11,reset,0.0,False,0,,,alarm_persistence,27,d3_oof
0,update,5.602909833257856,False,1065,0.7935774647887324,0.2807511737089201,alarm,7,hddm_w
0,reset,6.710092282083993,True,770,0.8207012987012988,0.4246753246753246,alarm,7,hddm_w
1,update,5.653887576954048,False,892,0.6257623318385651,0.3284753363228699,alarm,7,hddm_w
1,reset,6.675241941618022,True,577,0.6534142114384749,0.5892547660311959,alarm,7,hddm_w
0,update,7.056975040781401,True,1188,0.8112289562289562,0.2845117845117845,alarm,17,hddm_w
0,reset,6.4005622816757555,False,624,0.7969551282051283,0.4102564102564102,alarm,17,hddm_w
1,update,6.814476385132359,True,959,0.6521793534932222,0.291970802919708,alarm,17,hddm_w
1,reset,5.466744130566037,False,533,0.6168105065666041,0.6078799249530957,alarm,17,hddm_w
0,update,6.704400853737099,True,1381,0.8145401882693701,0.3178855901520637,alarm,27,hddm_w
0,reset,6.68852036923146,False,397,0.8103274559193955,0.4861460957178841,alarm,27,hddm_w
1,update,6.165604692569534,True,678,0.6513864306784661,0.3303834808259587,alarm,27,hddm_w
1,reset,5.951594541974149,False,848,0.6145047169811321,0.5966981132075472,alarm,27,hddm_w
00,update,5.726731783277937,False,1185,0.8339915611814346,0.4168776371308016,alarm_persistence,7,hddm_w
00,reset,6.442934022949055,True,258,0.8625581395348836,0.4147286821705426,alarm_persistence,7,hddm_w
01,update,4.725407572795232,False,14,0.7042857142857143,0.4285714285714285,alarm_persistence,7,hddm_w
01,reset,6.547182178114598,True,360,0.6897777777777778,0.4388888888888889,alarm_persistence,7,hddm_w
10,update,6.442603798488825,True,732,0.6625409836065574,0.3292349726775956,alarm_persistence,7,hddm_w
10,reset,5.487916861410231,False,178,0.6395505617977528,0.651685393258427,alarm_persistence,7,hddm_w
11,update,6.393178750607769,True,553,0.5989873417721518,0.349005424954792,alarm_persistence,7,hddm_w
11,reset,5.176316729391362,False,24,0.6016666666666667,0.6666666666666666,alarm_persistence,7,hddm_w
00,update,5.972117010839351,False,815,0.8353374233128834,0.4331288343558282,alarm_persistence,17,hddm_w
00,reset,6.78579571907377,True,610,0.8452131147540982,0.4278688524590164,alarm_persistence,17,hddm_w
01,update,5.360160223336236,False,19,0.6294736842105263,0.2631578947368421,alarm_persistence,17,hddm_w
01,reset,6.942411487974338,True,377,0.6889124668435014,0.4694960212201591,alarm_persistence,17,hddm_w
10,update,5.445045439577068,False,697,0.6512195121951219,0.3084648493543759,alarm_persistence,17,hddm_w
10,reset,6.777386343963711,True,204,0.6540196078431372,0.5833333333333334,alarm_persistence,17,hddm_w
11,update,5.303791546587042,False,499,0.5981563126252505,0.342685370741483,alarm_persistence,17,hddm_w
11,reset,5.982005321934566,True,83,0.6057831325301205,0.7228915662650602,alarm_persistence,17,hddm_w
00,update,6.4616406074834245,True,972,0.8519341563786008,0.3528806584362139,alarm_persistence,27,hddm_w
00,reset,6.36753962855489,False,461,0.8196095444685467,0.4338394793926247,alarm_persistence,27,hddm_w
01,update,6.616105809973588,True,345,0.6842898550724638,0.2898550724637681,alarm_persistence,27,hddm_w
01,reset,4.69350231467312,False,14,0.6328571428571429,0.5,alarm_persistence,27,hddm_w
10,update,5.681917498727022,False,269,0.6364312267657992,0.3345724907063197,alarm_persistence,27,hddm_w
10,reset,5.758963698171818,True,629,0.6420031796502386,0.6120826709062003,alarm_persistence,27,hddm_w
11,update,5.849736857849813,False,502,0.6020318725099603,0.3924302788844621,alarm_persistence,27,hddm_w
11,reset,6.427849694602352,True,112,0.6151785714285715,0.6785714285714286,alarm_persistence,27,hddm_w
0,update,6.658490442757525,True,1843,0.7320021703743895,0.2930005425935973,alarm,7,hellinger
0,reset,6.192817285932543,False,1269,0.7357131599684792,0.5019700551615445,alarm,7,hellinger
1,update,6.675213917226322,True,184,0.7144565217391304,0.2608695652173913,alarm,7,hellinger
1,reset,3.3218679492870793,False,8,0.585,0.375,alarm,7,hellinger
0,update,6.8730231630411245,True,1919,0.7315164147993747,0.2756644085461178,alarm,17,hellinger
0,reset,6.298655345660218,False,1179,0.7290754877014419,0.4927905004240882,alarm,17,hellinger
1,update,7.09125341350958,True,197,0.7059898477157359,0.299492385786802,alarm,17,hellinger
1,reset,3.557570433983303,False,9,0.6911111111111111,0.5555555555555556,alarm,17,hellinger
0,update,5.8081658611462945,False,1847,0.7362858689767189,0.2983216025988088,alarm,27,hellinger
0,reset,6.404844978165276,True,1280,0.7176406249999999,0.496875,alarm,27,hellinger
1,update,6.631405154577038,True,168,0.7138095238095239,0.369047619047619,alarm,27,hellinger
1,reset,4.021701420572059,False,9,0.6888888888888889,0.5555555555555556,alarm,27,hellinger
00,update,6.43226678544778,True,1467,0.7640899795501023,0.3012951601908657,alarm_persistence,7,hellinger
00,reset,6.195971669570469,False,749,0.7708678237650202,0.5006675567423231,alarm_persistence,7,hellinger
01,update,5.856045140081892,False,653,0.6416845329249616,0.3185298621745788,alarm_persistence,7,hellinger
01,reset,6.66177247823903,True,225,0.6505777777777779,0.5422222222222223,alarm_persistence,7,hellinger
10,update,6.607754377529421,True,139,0.7712230215827337,0.302158273381295,alarm_persistence,7,hellinger
10,reset,2.111757445619,False,5,0.768,0.0,alarm_persistence,7,hellinger
11,update,6.074069001930143,True,62,0.5548387096774194,0.2741935483870967,alarm_persistence,7,hellinger
11,reset,1.259506724131919,False,4,0.505,0.5,alarm_persistence,7,hellinger
00,update,6.8592336522329775,True,1285,0.7781167315175097,0.2972762645914397,alarm_persistence,17,hellinger
00,reset,6.029883577047101,False,919,0.7596300326441784,0.486398258977149,alarm_persistence,17,hellinger
01,update,6.402706295793639,True,811,0.6423921085080149,0.2848335388409371,alarm_persistence,17,hellinger
01,reset,5.733028796974707,False,61,0.5721311475409836,0.6885245901639344,alarm_persistence,17,hellinger
10,update,6.9897764971364955,True,133,0.7724812030075188,0.2857142857142857,alarm_persistence,17,hellinger
10,reset,2.5079050438847803,False,6,0.7833333333333333,0.5,alarm_persistence,17,hellinger
11,update,6.292597346593682,True,88,0.5863636363636363,0.3636363636363636,alarm_persistence,17,hellinger
11,reset,0.1695303546214354,False,1,0.34,1.0,alarm_persistence,17,hellinger
00,update,6.371805494412074,True,1251,0.7641886490807354,0.2845723421262989,alarm_persistence,27,hellinger
00,reset,5.953681651898625,False,994,0.7780281690140846,0.4959758551307847,alarm_persistence,27,hellinger
01,update,6.66554602900546,True,675,0.6570666666666667,0.317037037037037,alarm_persistence,27,hellinger
01,reset,5.5895749799285115,False,197,0.5570558375634518,0.5583756345177665,alarm_persistence,27,hellinger
10,update,6.427337625744401,True,109,0.7605504587155963,0.2935779816513761,alarm_persistence,27,hellinger
10,reset,2.5670901829470667,False,5,0.792,0.4,alarm_persistence,27,hellinger
11,update,6.163577914794587,True,70,0.5974285714285713,0.3571428571428571,alarm_persistence,27,hellinger
11,reset,1.653502293628315,False,3,0.64,1.0,alarm_persistence,27,hellinger
