state,action,q_value,selected,visits,mean_reward,rejected_fraction,variant,seed,detector
0,update,5.404065495627936,False,1563,0.7346641074856046,0.291106845809341,alarm,7,adwin
0,reset,6.642431483585252,True,881,0.7184108967082862,0.4222474460839954,alarm,7,adwin
1,update,5.799630522466634,False,654,0.7177064220183487,0.3746177370030581,alarm,7,adwin
1,reset,6.591734593752324,True,206,0.7486407766990292,0.6262135922330098,alarm,7,adwin
0,update,7.19432477764591,True,761,0.7114586070959265,0.2601839684625492,alarm,17,adwin
0,reset,6.320734010627299,False,1753,0.735653166001141,0.4460924130062749,alarm,17,adwin
1,update,6.858055636508391,True,704,0.7454545454545454,0.421875,alarm,17,adwin
1,reset,4.971559087341096,False,86,0.6125581395348837,0.686046511627907,alarm,17,adwin
0,update,5.950462167306607,False,1662,0.7324428399518653,0.3206979542719615,alarm,27,adwin
0,reset,6.285171652689247,True,795,0.7019119496855346,0.4716981132075472,alarm,27,adwin
1,update,5.8445717863608335,False,65,0.6821538461538461,0.4,alarm,27,adwin
1,reset,6.651091671819159,True,782,0.7306393861892582,0.6585677749360613,alarm,27,adwin
00,update,5.90563581788844,False,1254,0.7730781499202553,0.2783094098883573,alarm_persistence,7,adwin
00,reset,6.326661484054018,True,575,0.7990608695652174,0.4382608695652173,alarm_persistence,7,adwin
01,update,6.355024313353293,True,548,0.5838686131386861,0.2463503649635036,alarm_persistence,7,adwin
01,reset,5.245021416317582,False,26,0.6538461538461539,0.4615384615384615,alarm_persistence,7,adwin
10,update,5.437687144657629,False,491,0.7232586558044807,0.3279022403258655,alarm_persistence,7,adwin
10,reset,6.416548298573847,True,47,0.8004255319148937,0.7021276595744681,alarm_persistence,7,adwin
11,update,6.366383855636802,True,342,0.7088888888888889,0.4269005847953216,alarm_persistence,7,adwin
11,reset,4.938420019278583,False,21,0.7019047619047619,0.6190476190476191,alarm_persistence,7,adwin
00,update,6.8143419155731735,True,799,0.7951439299123906,0.3804755944931164,alarm_persistence,17,adwin
00,reset,6.296501049778583,False,1140,0.7492456140350878,0.4368421052631579,alarm_persistence,17,adwin
01,update,6.584832394577192,True,78,0.6035897435897436,0.2692307692307692,alarm_persistence,17,adwin
01,reset,5.41391408412627,False,490,0.5861632653061225,0.4836734693877551,alarm_persistence,17,adwin
10,update,5.403195362626924,False,372,0.7343010752688172,0.4059139784946236,alarm_persistence,17,adwin
10,reset,6.729456816407067,True,78,0.7723076923076924,0.6923076923076923,alarm_persistence,17,adwin
11,update,6.060837468808311,True,336,0.7298214285714286,0.4583333333333333,alarm_persistence,17,adwin
11,reset,3.857980737345287,False,11,0.66,0.8181818181818182,alarm_persistence,17,adwin
00,update,6.053209825461899,False,899,0.7690100111234706,0.3481646273637375,alarm_persistence,27,adwin
00,reset,6.322055432254465,True,993,0.7708761329305136,0.4481369587109768,alarm_persistence,27,adwin
01,update,5.7623781855025715,False,525,0.5702095238095238,0.28,alarm_persistence,27,adwin
01,reset,6.444531939954348,True,47,0.6144680851063828,0.5106382978723404,alarm_persistence,27,adwin
10,update,5.039111297978236,False,20,0.754,0.4,alarm_persistence,27,adwin
10,reset,5.97475887707906,True,457,0.7375929978118163,0.6783369803063457,alarm_persistence,27,adwin
11,update,6.517290730469651,True,342,0.7138596491228071,0.4970760233918128,alarm_persistence,27,adwin
11,reset,5.037898100376084,False,21,0.7257142857142855,0.7142857142857143,alarm_persistence,27,adwin
0,update,6.651977099757435,True,1774,0.7292784667418264,0.3151071025930101,alarm,7,d3_oof
0,reset,6.085887192130157,False,1500,0.73276,0.4966666666666666,alarm,7,d3_oof
1,update,5.9917516943743525,True,26,0.7369230769230769,0.3076923076923077,alarm,7,d3_oof
1,reset,1.958578491468607,False,4,0.71,1.0,alarm,7,d3_oof
0,update,6.794888534160474,False,1920,0.717125,0.2776041666666666,alarm,17,d3_oof
0,reset,7.39886324777252,True,1334,0.7565667166416792,0.5014992503748126,alarm,17,d3_oof
1,update,6.026379928119996,True,47,0.7038297872340425,0.1489361702127659,alarm,17,d3_oof
