,,,,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,detection_delay,detection_delay,detection_delay,detection_delay,detection_delay,commit_delay,commit_delay,commit_delay,commit_delay,commit_delay,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_recall,malicious_recall,malicious_recall,malicious_recall,malicious_recall,benign_fpr,benign_fpr,benign_fpr,benign_fpr,benign_fpr,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,average_precision,average_precision,average_precision,average_precision,average_precision
,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
stream,detector,policy,guarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF_I,d3_oof,immediate,False,0.6017554049470506,0.027398518277559965,0.5525428027901078,0.6478123018389347,21,0.5998073619290291,0.027152409007794663,0.5543175792628314,0.6462343458048384,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,2.6476190476190475,0.6867452567139052,1.6,4.4,21,95000.0,0.0,95000.0,95000.0,21,18.215248520011524,0.3492174304097589,17.67316220002249,18.91146887997165,21,26.12301587301587,13.33780183058504,1.5,46.75,21,26.12301587301587,13.33780183058504,1.5,46.75,21,0.047619047619047616,0.15936381457791912,0.0,0.6666666666666666,21,0.047619047619047616,0.15936381457791912,0.0,0.6666666666666666,21,0.018867924528301827,0.01540559586656084,0.0,0.0377358490566037,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,d3_oof,immediate,True,0.653011269479645,0.025754475503524027,0.6100816489096883,0.701860071866413,21,0.6520937450333631,0.025939955859049683,0.6087330893202565,0.7022501973350233,21,0.6808327659119805,0.0821834553638032,0.4747993201285697,0.8263236160601555,18,0.26066653892116604,0.04832346880788812,0.2008032128514056,0.3601427224533809,21,0.3428571428571428,0.341425582772335,0.0,0.7999999999999999,21,95000.0,0.0,95000.0,95000.0,21,26.157943933337396,2.5190443347079587,22.556598439998925,30.670108679961416,21,23.246031746031743,13.387273086324587,4.666666666666667,48.75,21,26.681818181818183,14.79615275548466,1.5,48.5,11,0.09523809523809523,0.1543033499620919,0.0,0.3333333333333333,21,0.7777777777777777,0.24343224778007386,0.3333333333333333,1.0,21,0.018867924528301827,0.01540559586656084,0.0,0.0377358490566037,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hddm_w,confirmed,False,0.597727624105291,0.034847967165369254,0.538753782233663,0.684857324032974,21,0.5960521151190432,0.03487350699779431,0.5374088587183852,0.6845447387328867,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,3.695238095238095,1.1306972143222915,2.0,5.199999999999999,21,102020.95238095238,2148.324707212353,98800.0,104880.0,21,19.119001586655422,0.5816470164328749,18.432050080038607,21.159157159924508,21,1.349206349206349,0.8060616910233667,0.6666666666666666,3.333333333333333,21,15.091269841269842,8.530008497858898,6.0,41.0,21,0.0,0.0,0.0,0.0,21,0.015873015873015872,0.07273929674533079,0.0,0.3333333333333333,21,0.4952830188679245,0.34218980837814783,0.2452830188679245,1.0,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hddm_w,confirmed,True,0.6349814471862205,0.030850696068767548,0.5820756711054745,0.6994588881843162,21,0.6334150460033062,0.031136713852864692,0.5828625120386772,0.6994445936117548,21,0.6317840646261608,0.10535691291430933,0.3498923718552401,0.7696196842873996,18,0.2863704244839616,0.04126264652593308,0.216867469879518,0.3536213554958332,21,1.0666666666666667,0.897403662424738,0.0,2.8,21,107594.28571428571,4269.356592542455,101080.0,116280.0,21,25.754693295238987,2.5961065301930986,21.986726040020585,31.442865919973706,21,1.9206349206349207,1.4640308205042145,0.6666666666666666,5.333333333333333,21,19.942708333333332,15.254225848924618,7.5,53.0,16,0.0,0.0,0.0,0.0,21,0.6190476190476191,0.2845213189769458,0.0,1.0,21,0.49056603773584906,0.3543287049309,0.1886792452830188,1.0,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hddm_w,immediate,False,0.5270416032676513,0.029236149443078518,0.4789512305260781,0.5871063200169098,21,0.5230892395896388,0.028458607115233063,0.4729476911952153,0.5845472042097758,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,59.980952380952374,8.68513782548205,47.6,71.2,21,95000.0,0.0,95000.0,95000.0,21,18.067630994288873,0.5387164164666721,17.247216080036015,20.199159000068903,21,1.253968253968254,0.45831529546035227,0.6666666666666666,2.333333333333333,21,1.253968253968254,0.45831529546035227,0.6666666666666666,2.333333333333333,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.5943396226415094,0.2792197846594102,0.3773584905660377,1.0,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hddm_w,immediate,True,0.5440308920725357,0.025204534152796977,0.511905568351172,0.5948383005707039,21,0.540382529780921,0.02398941861535477,0.5075751611930083,0.5923230529184972,21,0.3616610267690637,0.15096169418995023,0.1393630273036393,0.600901840697244,18,0.46155022477747076,0.038572013702796615,0.4024481131010185,0.5453935044123953,21,27.276190476190475,4.681228979862528,17.599999999999998,35.2,21,95000.0,0.0,95000.0,95000.0,21,19.600824342858754,0.5369328927877881,19.04615468000993,21.53662371998653,21,1.365079365079365,0.481949304673357,0.6666666666666666,2.333333333333333,21,4.222222222222222,3.537628416724235,0.6666666666666666,15.0,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.6367924528301887,0.257497057810494,0.3962264150943396,1.0,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hellinger,confirmed,False,0.6242010769066677,0.03710529549634857,0.5624181456893826,0.6962967660114141,21,0.6226265998767415,0.037441101311536454,0.5611079826702614,0.6965039066904188,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,1.9047619047619047,0.6681887386631045,0.7999999999999999,3.2,21,98619.04761904762,1269.5586034599003,96520.0,101080.0,21,18.198883758099484,0.3757575317750693,17.639206720050424,19.101325079984964,21,10.253968253968255,5.680282428331224,2.333333333333333,21.0,21,28.051587301587297,13.007409111692528,7.666666666666667,53.0,21,0.0,0.0,0.0,0.0,21,0.15873015873015872,0.1705887719063863,0.0,0.3333333333333333,21,0.07547169811320753,0.051094581161232444,0.0,0.1132075471698113,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hellinger,confirmed,True,0.6535012851642307,0.028308533311715064,0.6042443458042697,0.7180596068484464,21,0.6525582211115049,0.028181743579137643,0.6037531321907826,0.7176690448014214,21,0.6721162358560645,0.07169739572440059,0.5571905042181675,0.8319058717811912,18,0.24291701429060705,0.03967518604329168,0.1365461847389558,0.3053919245265985,21,0.30476190476190473,0.3980906812224954,0.0,1.2,21,99089.52380952382,1471.2663803352416,97280.0,102600.0,21,26.66076940190757,2.137048686208349,22.46887268004939,32.15301632005721,21,17.015873015873016,12.191288415401928,0.6666666666666666,51.0,21,21.025,13.416640786724523,8.5,56.5,10,0.0,0.0,0.0,0.0,21,0.8253968253968254,0.20052840250607945,0.3333333333333333,1.0,21,0.06603773584905658,0.04491464420467199,0.0,0.0943396226415094,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hellinger,immediate,False,0.5566966647966047,0.03527639983115519,0.5072483403332881,0.6360740593270954,21,0.5535312889133144,0.03456881729196989,0.5027174388440057,0.6325826797067569,21,1.0,0.0,1.0,1.0,18,0.0,0.0,0.0,0.0,21,8.380952380952381,1.6320597561422336,4.0,10.8,21,95000.0,0.0,95000.0,95000.0,21,17.51356101905306,0.4963443764509965,16.893147920072078,19.11384692005813,21,11.523809523809522,12.636618494839787,0.6666666666666666,52.66666666666666,21,11.523809523809522,12.636618494839787,0.6666666666666666,52.66666666666666,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.0613207547169811,0.044583166285401946,0.0,0.0943396226415094,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,hellinger,immediate,True,0.6244302885064981,0.034913505211873724,0.5508636261006999,0.6732614669203129,21,0.6231829970351311,0.03544500593507909,0.5482128698722312,0.6714893135178319,21,0.611302592179719,0.089137373442301,0.4690990738142015,0.7875220718069452,18,0.30800361250441055,0.040786451802809785,0.2366419106526106,0.4171108200275525,21,1.580952380952381,1.127660874385135,0.0,3.6,21,95000.0,0.0,95000.0,95000.0,21,23.15040708382481,2.058356090504411,19.708394120074807,28.10846604006365,21,11.793650793650793,5.821870824243689,2.6666666666666665,25.0,21,22.44607843137255,15.911019427292718,0.5,54.75,17,0.0,0.0,0.0,0.0,21,0.5238095238095238,0.3261122603478844,0.0,1.0,21,0.0613207547169811,0.044583166285401946,0.0,0.0943396226415094,4,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
