stream,condition,mode,level,view,threshold,rows,poison_rows,prevalence,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection,tn,fp,fn,tp
RBF_I,RBF_I__s115__clean__none,clean,none,features,0.2829861710844541,56050,0,0.0,,,,0.0,0.06378233719892953,52475,3575,0,0
RBF_I,RBF_I__s115__clean__none,clean,none,features_label,0.4963746272614787,56050,0,0.0,,,,0.0,0.025958965209634255,54595,1455,0,0
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,features,0.2829861710844541,56050,8551,0.15256021409455842,0.4980710855753473,0.15227907600123824,0.06607414337504386,0.15804195804195803,0.06336975515274006,44489,3010,7986,565
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,features_label,0.4963746272614787,56050,8551,0.15256021409455842,0.5282059326737538,0.1924537779984165,0.06233189100689978,0.3024971623155505,0.025874228931135394,46270,1229,8018,533
RBF_I,RBF_I__s115__instance__severe,instance,severe,features,0.2829861710844541,56050,14252,0.2542729705619982,0.5028647698524976,0.2567109329651418,0.06307886612405277,0.2514685314685315,0.06402220201923536,39122,2676,13353,899
RBF_I,RBF_I__s115__instance__severe,instance,severe,features_label,0.4963746272614787,56050,14252,0.2542729705619982,0.5232445090582203,0.3003131736654211,0.06174571989896155,0.4487506374298827,0.025862481458442988,40717,1081,13372,880
RBF_I,RBF_I__s115__concept__moderate,concept,moderate,features,0.2829861710844541,56050,8547,0.15248884924174844,0.5185092273802461,0.1537177611641634,0.05241605241605242,0.12759897465109654,0.06448013809654127,44440,3063,8099,448
RBF_I,RBF_I__s115__concept__moderate,concept,moderate,features_label,0.4963746272614787,56050,8547,0.15248884924174844,0.5258045897163427,0.1733217406508264,0.047268047268047265,0.24830977258758452,0.025745742374165843,46280,1223,8143,404
RBF_I,RBF_I__s115__concept__severe,concept,severe,features,0.2829861710844541,56050,14198,0.25330954504906333,0.5177928660653657,0.255271245510271,0.05543034230173264,0.22492140611603315,0.06479977062028099,39140,2712,13411,787
RBF_I,RBF_I__s115__concept__severe,concept,severe,features_label,0.4963746272614787,56050,14198,0.25330954504906333,0.5300545941058314,0.2818218186222393,0.0425412029863361,0.36081242532855434,0.025566281181305554,40782,1070,13594,604
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,features,0.2829861710844541,56050,8536,0.15229259589652097,0.507393494913885,0.15690209187130086,0.06993908153701968,0.16487158243579123,0.06364439954539715,44490,3024,7939,597
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,features_label,0.4963746272614787,56050,8536,0.15229259589652097,0.49472053819563827,0.1515513152902407,0.026358950328022494,0.15264586160108548,0.02628698909795008,46265,1249,8311,225
RBF_I,RBF_I__s115__splice__severe,splice,severe,features,0.2829861710844541,56050,14243,0.2541123996431757,0.4983750357525756,0.2521771445386656,0.06389103419223478,0.2493833927103316,0.06551534432032913,39068,2739,13333,910
RBF_I,RBF_I__s115__splice__severe,splice,severe,features_label,0.4963746272614787,56050,14243,0.2541123996431757,0.49708766929290515,0.25303832477853905,0.026188303026047882,0.25653370013755156,0.025856913913937858,40726,1081,13870,373
RBF_I,RBF_I__s116__clean__none,clean,none,features,0.2829861710844541,56050,0,0.0,,,,0.0,0.04101694915254237,53751,2299,0,0
RBF_I,RBF_I__s116__clean__none,clean,none,features_label,0.4963746272614787,56050,0,0.0,,,,0.0,0.05129348795718109,53175,2875,0,0
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,features,0.2829861710844541,56050,8561,0.1527386262265834,0.501636552827243,0.1523948992947694,0.039014133862866486,0.14528055676381035,0.04137800332708627,45524,1965,8227,334
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,features_label,0.4963746272614787,56050,8561,0.1527386262265834,0.35036942226096,0.10979904931132181,0.0011680878402055834,0.004120313143798929,0.05089599696771884,45072,2417,8551,10
RBF_I,RBF_I__s116__instance__severe,instance,severe,features,0.2829861710844541,56050,14248,0.2542016057091882,0.4982505818854432,0.253480585171417,0.04091802358225716,0.2535885167464115,0.04105066743218028,40086,1716,13665,583
RBF_I,RBF_I__s116__instance__severe,instance,severe,features_label,0.4963746272614787,56050,14248,0.2542016057091882,0.35266925121534287,0.1886220323861545,0.0011229646266142617,0.0074211502782931356,0.05119372278838333,39662,2140,14232,16
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,features,0.2829861710844541,56050,8550,0.15254237288135594,0.5294878559556786,0.16990421437593978,0.05403508771929825,0.1931438127090301,0.04063157894736842,45570,1930,8088,462
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,features_label,0.4963746272614787,56050,8550,0.15254237288135594,0.5196666186518929,0.1583697922942873,0.04409356725146199,0.1375912408759124,0.04974736842105263,45137,2363,8173,377
RBF_I,RBF_I__s116__concept__severe,concept,severe,features,0.2829861710844541,56050,14244,0.25413024085637825,0.5290585611118274,0.27658525435606396,0.04802021903959562,0.2872742545149097,0.040592259484284555,40109,1697,13560,684
RBF_I,RBF_I__s116__concept__severe,concept,severe,features_label,0.4963746272614787,56050,14244,0.25413024085637825,0.5120293702475602,0.26060085409612394,0.04486099410278012,0.23968492123030757,0.04848586327321437,39779,2027,13605,639
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,features,0.2829861710844541,56050,8533,0.15223907225691347,0.4931954358666423,0.15038469906592544,0.037970233212234854,0.14457831325301204,0.04034345602626428,45600,1917,8209,324
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,features_label,0.4963746272614787,56050,8533,0.15223907225691347,0.4923074303277041,0.14769283445211018,0.04324387671393414,0.13851351351351351,0.04829850369341499,45222,2295,8164,369
RBF_I,RBF_I__s116__splice__severe,splice,severe,features,0.2829861710844541,56050,14276,0.25470115967885815,0.4982402439748942,0.2536623428176658,0.041468198374894925,0.2591943957968476,0.04050366256523196,40082,1692,13684,592
RBF_I,RBF_I__s116__splice__severe,splice,severe,features_label,0.4963746272614787,56050,14276,0.25470115967885815,0.4970600795393934,0.2532852888811856,0.04840291398150742,0.255452865064695,0.04821180638674774,39760,2014,13585,691
RBF_I,RBF_I__s117__clean__none,clean,none,features,0.2829861710844541,56050,0,0.0,,,,0.0,0.03462979482604817,54109,1941,0,0
RBF_I,RBF_I__s117__clean__none,clean,none,features_label,0.4963746272614787,56050,0,0.0,,,,0.0,0.05657448706512043,52879,3171,0,0
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,features,0.2829861710844541,56050,8540,0.15236396074933095,0.5014205526557456,0.1537447172310804,0.03793911007025761,0.16692426584234932,0.03403494001262892,45893,1617,8216,324
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,features_label,0.4963746272614787,56050,8540,0.15236396074933095,0.3327817476611604,0.10579516543993292,0.002107728337236534,0.0066200809121000365,0.056851189223321406,44809,2701,8522,18
RBF_I,RBF_I__s117__instance__severe,instance,severe,features,0.2829861710844541,56050,14283,0.25482604817127563,0.4966377908017238,0.2527745982052541,0.03423650493593783,0.25193199381761977,0.03476428759547011,40315,1452,13794,489
RBF_I,RBF_I__s117__instance__severe,instance,severe,features_label,0.4963746272614787,56050,14283,0.25482604817127563,0.33158363189060985,0.18182168806244067,0.001890359168241966,0.011460101867572157,0.05576172576435942,39438,2329,14256,27
RBF_I,RBF_I__s117__concept__moderate,concept,moderate,features,0.2829861710844541,56050,8553,0.15259589652096342,0.5050115554197678,0.1618157856696164,0.04852098678826143,0.19990366088631983,0.034970629723982564,45836,1661,8138,415
