rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,run_id,condition,stream,mode,level,base_seed,base_key,relative_folder,attack_seed,detector,rl_seed,status,host_n,host_accuracy,host_macro_f1,undefined_predictions,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,poison_training_visits,rejected_update_blocks,insufficient_audit_blocks,reset_requests,reset_rejections,gate_seconds,candidate_seconds,prediction_seconds,mean_admission_delay_blocks,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,event_applicable,detection_delay,commit_delay,missed_detections,missed_commits,scheduled_events,unexposed_false_alarm_rate,unexposed_blocks,missed_detection_rate,missed_commit_rate,resets_per_100k,training_visits_per_100k,accepted_training_visits_per_100k,accepted_refit_rows_per_100k,seconds_per_100k,gate_seconds_per_100k,rl_model_sha256,rl_variant
250000,237500,194750,0,0,71.81071360013448,False,12500,confirmed,True,RBF_I__base_s0__clean__none__anone__d3_oof__confirmed__guarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/d3_oof/confirmed_reset/screened,,d3_oof,,complete,236550,0.697429718875502,0.6973233019362195,0,0,0,,236550,42750,0.18072289156626506,0,45,0,0,0,2.563696801196784,48.491233398905024,18.039465700276196,0.0,,,,,,True,16.333333333333332,,0.0,3.0,3.0,0.018867924528301886,53.0,0.0,1.0,0.0,95000.0,77900.0,0.0,28.72428544005379,1.0254787204787135,,
250000,239400,239400,2850,1,46.67211509984918,False,12500,confirmed,False,RBF_I__base_s0__clean__none__anone__d3_oof__confirmed__unguarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/d3_oof/confirmed_reset/unscreened,,d3_oof,,complete,236550,0.6885774677658001,0.6887802709027511,0,0,0,,236550,0,0.0,0,0,0,1,0,6.89022708684206e-05,26.59982839692384,17.49707040283829,0.0,,,,,,True,16.333333333333332,15.5,0.0,2.0,3.0,0.018867924528301886,53.0,0.0,0.6666666666666666,0.39999999999999997,95760.0,95760.0,1140.0,18.66884603993967,2.756090834736824e-05,,
250000,237500,188100,0,0,76.67527169990353,False,12500,immediate,True,RBF_I__base_s0__clean__none__anone__d3_oof__immediate__guarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/d3_oof/immediate_reset/screened,,d3_oof,,complete,236550,0.701860071866413,0.7022501973350233,0,0,0,,236550,49400,0.20883534136546184,0,52,0,7,7,2.542976697674021,53.19170970073901,18.22775520128198,0.0,,,,,,True,16.333333333333332,,0.0,3.0,3.0,0.018867924528301886,53.0,0.0,1.0,0.0,95000.0,75240.0,0.0,30.670108679961416,1.0171906790696084,,
250000,237500,237500,4750,5,44.34431740012951,False,12500,immediate,False,RBF_I__base_s0__clean__none__anone__d3_oof__immediate__unguarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/d3_oof/immediate_reset/unscreened,,d3_oof,,complete,236550,0.637577679137603,0.6376454102811916,0,0,0,,236550,0,0.0,0,0,0,5,0,6.139930337667465e-05,24.845587000017986,16.967749898554757,0.0,,,,,,True,16.333333333333332,16.333333333333332,0.0,0.0,3.0,0.018867924528301886,53.0,0.0,0.0,2.0,95000.0,95000.0,1900.0,17.737726960051802,2.455972135066986e-05,,
250000,264100,182400,0,0,78.60716479993425,False,12500,confirmed,True,RBF_I__base_s0__clean__none__anone__hddm_w__confirmed__guarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hddm_w/confirmed_reset/screened,,hddm_w,,complete,236550,0.6905432255337138,0.690766490101393,0,0,0,,236550,55100,0.23293172690763053,0,58,0,14,14,2.5968071001116186,55.545493801822886,18.24313879967667,0.0,,,,,,True,5.333333333333333,,0.0,3.0,3.0,0.33962264150943394,53.0,0.0,1.0,0.0,105640.0,72960.0,0.0,31.442865919973702,1.0387228400446475,,
250000,250800,250800,19950,7,46.781656899955124,False,12500,confirmed,False,RBF_I__base_s0__clean__none__anone__hddm_w__confirmed__unguarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hddm_w/confirmed_reset/unscreened,,hddm_w,,complete,236550,0.6398985415345593,0.6397791413879994,0,0,0,,236550,0,0.0,0,0,0,7,0,6.380118429660797e-05,26.807807500939816,17.822855700273067,0.0,,,,,,True,3.3333333333333335,7.666666666666667,0.0,0.0,3.0,0.33962264150943394,53.0,0.0,0.0,2.8,100320.00000000001,100320.00000000001,7980.0,18.71266275998205,2.5520473718643186e-05,,
250000,237500,131100,68400,72,47.97724930010736,False,12500,immediate,True,RBF_I__base_s0__clean__none__anone__hddm_w__immediate__guarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hddm_w/immediate_reset/screened,,hddm_w,,complete,236550,0.5454111181568378,0.5451730842789042,0,0,0,,236550,106400,0.4497991967871486,0,112,0,147,75,2.5387995983473957,25.54277329845354,17.55750310001895,0.0,,,,,,True,1.6666666666666667,2.6666666666666665,0.0,0.0,3.0,0.6037735849056604,53.0,0.0,0.0,28.8,95000.0,52440.0,27360.0,19.190899720042943,1.0155198393389582,,
250000,237500,237500,129200,136,44.95010790019296,False,12500,immediate,False,RBF_I__base_s0__clean__none__anone__hddm_w__immediate__unguarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hddm_w/immediate_reset/unscreened,,hddm_w,,complete,236550,0.5388712745719721,0.5385054390762715,0,0,0,,236550,0,0.0,0,0,0,136,0,6.830086931586266e-05,24.813087998423725,17.74175710021518,0.0,,,,,,True,1.3333333333333333,1.3333333333333333,0.0,0.0,3.0,0.5471698113207547,53.0,0.0,0.0,54.4,95000.0,95000.0,51680.00000000001,17.980043160077184,2.7320347726345062e-05,,
250000,243200,186200,0,0,71.18356589996256,False,12500,confirmed,True,RBF_I__base_s0__clean__none__anone__hellinger__confirmed__guarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hellinger/confirmed_reset/screened,,hellinger,,complete,236550,0.6983978017332488,0.6984050980452743,0,0,0,,236550,51300,0.21686746987951808,0,54,0,3,3,2.603193099377677,49.00810300046578,18.542057801038027,0.0,,,,,,True,13.666666666666666,,0.0,3.0,3.0,0.07547169811320754,53.0,0.0,1.0,0.0,97280.0,74480.0,0.0,28.473426359985027,1.0412772397510708,,
250000,243200,243200,8550,3,45.04032549983822,True,12500,confirmed,False,RBF_I__base_s0__clean__none__anone__hellinger__confirmed__unguarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hellinger/confirmed_reset/unscreened,,hellinger,,complete,236550,0.6765292749947157,0.6764299854045321,0,0,0,,236550,0,0.0,0,0,0,3,0,6.409874185919762e-05,26.39139010128565,17.73514129780233,0.0,,,,,,True,7.333333333333333,37.25,0.0,1.0,3.0,0.11320754716981132,53.0,0.0,0.3333333333333333,1.2,97280.0,97280.0,3420.0,18.016130199935287,2.5639496743679047e-05,,
250000,237500,160550,2850,3,55.50695540010929,False,12500,immediate,True,RBF_I__base_s0__clean__none__anone__hellinger__immediate__guarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hellinger/immediate_reset/screened,,hellinger,,complete,236550,0.6474952441344325,0.6466609460050967,0,0,0,,236550,76950,0.3253012048192771,0,81,0,20,17,2.621668698033318,34.05540309846401,17.87520500132814,0.0,,,,,,True,11.666666666666666,20.75,0.0,1.0,3.0,0.05660377358490566,53.0,0.0,0.3333333333333333,1.2,95000.0,64220.0,1140.0,22.202782160043718,1.0486674792133273,,
250000,237500,237500,23750,25,43.26175049995072,False,12500,immediate,False,RBF_I__base_s0__clean__none__anone__hellinger__immediate__unguarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/hellinger/immediate_reset/unscreened,,hellinger,,complete,236550,0.5412259564574086,0.5405384265060366,0,0,0,,236550,0,0.0,0,0,0,25,0,6.42002560198307e-05,24.739062600536272,17.603998800506815,0.0,,,,,,True,0.6666666666666666,0.6666666666666666,0.0,0.0,3.0,0.09433962264150944,53.0,0.0,0.0,10.0,95000.0,95000.0,9500.0,17.30470019998029,2.568010240793228e-05,,
