stream,detector,alarm_rate,poison_alarm_rate,unexposed_alarm_rate,event_recall,detection_delay,seconds_per_100k
RBF_I,adwin,0.2924939467312349,0.5180711669509643,0.025,1.0,4.0,0.013949714339105412
RBF_I,d3_oof,0.02276029055690073,0.03478904169046386,0.0,0.44761904761904764,18.9031746031746,0.18625470871449495
RBF_I,hddm_w,0.6721549636803873,0.8074682731170165,0.45,1.0,1.5047619047619047,0.13553946848038495
RBF_I,hellinger,0.09975786924939468,0.09285587221979195,0.05,1.0,6.628571428571428,0.024640574247487602
SEA_A,adwin,0.236319612590799,0.35033722510461,0.006153846153846154,0.7904761904761904,5.9799999999999995,0.013131002730612334
SEA_A,d3_oof,0.03002421307506053,0.030563207532470226,0.0,0.5333333333333333,6.900238095238095,0.13565292566532403
SEA_A,hddm_w,0.23002421307506052,0.3433829277499463,0.0,0.6476190476190476,7.420476190476189,0.10449228021371666
SEA_A,hellinger,0.07990314769975788,0.08056805128223367,0.012307692307692308,0.8857142857142856,6.382380952380951,0.007877203574891956
radar,adwin,0.7940476190476191,0.847189436308037,0.7481432002809711,,,0.017962735323431633
radar,d3_oof,0.037896825396825394,0.03230155929786727,0.031739844263064074,,,2.160885275145257
radar,hddm_w,0.6630952380952381,0.7301597078226614,0.5309274670977457,,,0.2761528165992281
radar,hellinger,0.08968253968253968,0.08262608219926974,0.07533461550489415,,,0.07647175337885888
