stream,detector,filter,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
RBF_I,adwin,learned_features,0.5272373293986561,0.5319982840561293,0.6379322226366212,0.29068411255687476,1.8514285714285716,60724.62857142857,,
RBF_I,adwin,learned_features_label,0.5232168209151131,0.5293954076996112,0.6392200533370593,0.2907444720499652,1.9885714285714287,60745.14285714286,,
RBF_I,adwin,none,0.5366254227865485,0.5418073921093597,0.6552639167369908,0.25439378173618854,1.7142857142857142,64057.142857142855,,
RBF_I,adwin,oracle_blocks,0.4663256260800934,0.474669408106329,0.0,0.5945803735172327,0.2857142857142857,26627.14285714286,,
RBF_I,adwin,oracle_rows,0.5324727675182964,0.5379543084143599,0.0,0.22763892036920777,2.0571428571428574,52834.02857142857,,
RBF_I,adwin,random_blocks,0.4506709788087469,0.45964015943895326,0.22865311665534388,0.6570014949148535,0.2914285714285714,26638.0,,
RBF_I,adwin,random_rows,0.51964251237203,0.5255279455607639,0.5487753116326591,0.38680842361505385,2.0228571428571427,52843.56571428571,,
RBF_I,d3_oof,learned_features,0.5334927674210801,0.537755511378729,0.6624562485933388,0.27382721623155654,0.36,55058.33142857143,,
RBF_I,d3_oof,learned_features_label,0.5298399285339599,0.5351537479408195,0.6752538034509102,0.27559570866660255,0.3771428571428571,55216.69142857143,,
RBF_I,d3_oof,none,0.5427351285105159,0.5470164557477768,0.6953901875392953,0.2354406487115565,0.34285714285714286,58085.71428571428,,
RBF_I,d3_oof,oracle_blocks,0.4679234135277333,0.47585661340771807,0.0,0.5911905430087581,0.028571428571428574,25758.571428571428,,
RBF_I,d3_oof,oracle_rows,0.5430835803078234,0.5465388278326027,0.0,0.2028265036131858,0.2571428571428572,48103.37142857142,,
RBF_I,d3_oof,random_blocks,0.4523542504729403,0.4609080814469563,0.22945261745484466,0.6536206863929601,0.028571428571428574,25758.571428571428,,
RBF_I,d3_oof,random_rows,0.5256717295171127,0.5301973879045441,0.5675723382800442,0.36140017900708965,0.4,48112.577142857146,,
RBF_I,hddm_w,learned_features,0.520014299685337,0.5250030290629926,0.6207880228603809,0.2962191035300562,2.7485714285714287,63299.0,,
