stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,filter_poison_recall,filter_legitimate_rejection,detector,filter,filter_seed,status,folder,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,malicious_recall_reference,benign_fpr_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,malicious_recall_difference,benign_fpr_difference
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,,,62700,,,3,2.7622217500029365,,,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,none,,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/none,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.69673833399429,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,oracle_blocks,,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/oracle_blocks,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.6395204580039717,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,oracle_rows,,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/oracle_rows,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.5622230840090197,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,random_blocks,17.0,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/random_blocks_seed_17,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.6005853329843376,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,random_blocks,27.0,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/random_blocks_seed_27,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.622398333012825,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,random_blocks,37.0,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/random_blocks_seed_37,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.629483041993808,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,random_blocks,47.0,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/random_blocks_seed_47,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.611515333002899,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,random_blocks,7.0,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/random_blocks_seed_7,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.718338250007946,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,random_rows,17.0,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/random_rows_seed_17,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.0,60000.0,62700,47500.0,8550.0,3,2.5439142499817535,True,3000.0,confirmed,True,56050,0.5564317573595005,0.5486748741386835,0,0,,56050,12350,0.22033898305084745,,,,0.0,adwin,random_rows,27.0,complete,results/per_dataset_study/filters/runs/RBF_I/adwin/RBF_I__s115__clean__none/random_rows_seed_27,0.5486748741386835,0.5564317573595005,,0.22033898305084745,3,62700,,,0.0,0.0,,0.0,0,0,,
