stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows
RBF_I,4,118,instance,moderate,RBF_I__s118__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,4,118,instance,severe,RBF_I__s118__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,4,118,concept,moderate,RBF_I__s118__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,4,118,concept,severe,RBF_I__s118__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,4,118,splice,moderate,RBF_I__s118__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,4,118,splice,severe,RBF_I__s118__splice__severe,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,5,119,clean,none,RBF_I__s119__clean__none,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,5,119,instance,moderate,RBF_I__s119__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,5,119,instance,severe,RBF_I__s119__instance__severe,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,5,119,concept,moderate,RBF_I__s119__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,5,119,concept,severe,RBF_I__s119__concept__severe,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,5,119,splice,moderate,RBF_I__s119__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000
RBF_I,5,119,splice,severe,RBF_I__s119__splice__severe,False,0.02857142857142857,0.3333333333333333,60000
radar,1,0,clean,none,radar__evaluation__clean__none__aNone,True,0.02857142857142857,0.3333333333333333,144753
radar,1,0,instance,moderate,radar__evaluation__instance__moderate__a0,False,0.02857142857142857,0.3333333333333333,144753
radar,1,0,instance,severe,radar__evaluation__instance__severe__a0,False,0.02857142857142857,0.3333333333333333,144753
radar,1,0,concept,moderate,radar__evaluation__concept__moderate__a0,False,0.02857142857142857,0.3333333333333333,144753
radar,1,0,concept,severe,radar__evaluation__concept__severe__a0,False,0.02857142857142857,0.3333333333333333,144753
radar,1,0,splice,moderate,radar__evaluation__splice__moderate__a0,False,0.02857142857142857,0.3333333333333333,144753
radar,1,0,splice,severe,radar__evaluation__splice__severe__a0,False,0.02857142857142857,0.3333333333333333,144753
radar,2,1,clean,none,radar__evaluation__clean__none__aNone,True,0.02857142857142857,0.3333333333333333,144753
