stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,detector,status,folder
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,13300,9500,2850,1,0.5502984579943586,False,600,confirmed,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,2850,0.2727272727272727,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__clean__none/confirmed_screened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,13300,13300,2850,1,0.5140899170073681,False,600,confirmed,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__clean__none/confirmed_unscreened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,950,1,0.5031366669863928,False,600,immediate,True,10450,0.38344497607655503,0.3819772230916784,0,0,,10450,3800,0.36363636363636365,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__clean__none/immediate_screened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,11400,4750,5,0.46218975001829676,False,600,immediate,False,10450,0.4937799043062201,0.49244102328430905,0,0,,10450,0,0.0,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__clean__none/immediate_unscreened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,7600,0,0,0.5212011660041753,True,600,confirmed,True,10450,0.3475598086124402,0.33479347114531915,2843,1766,0.6211748153359128,7607,2723,0.35795977389246747,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__instance__severe/confirmed_screened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,11400,0,0,0.45477512502111495,False,600,confirmed,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__instance__severe/confirmed_unscreened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,9500,1900,2,0.4990034999791533,False,600,immediate,True,10450,0.4382775119617225,0.4376732218584368,2843,2306,0.8111150193457615,7607,1363,0.17917707374786382,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__instance__severe/immediate_screened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,11400,2850,3,0.43856529201730154,False,600,immediate,False,10450,0.430622009569378,0.4251229974787612,2843,2843,1.0,7607,0,0.0,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s9913__instance__severe/immediate_unscreened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,0,0,0.5293896250077523,False,600,confirmed,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,3800,0.36363636363636365,,,d3_oof,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/d3_oof/RBF_I__s9913__clean__none/confirmed_screened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,11400,0,0,0.4671617920103017,False,600,confirmed,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,d3_oof,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/d3_oof/RBF_I__s9913__clean__none/confirmed_unscreened
