dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hellinger__immediate__unguarded,hellinger,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,128475,0.6896061233910532,0.6012083181735147,0.6080452328257265,0.846226055235577,,0.0,6.6013000435273215,48.24545987337672
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hellinger__immediate__guarded,hellinger,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118495,0.6360371869330442,0.4566668111862058,0.447225870862249,0.8645089067197418,,0.2232545994581833,2.0629062636022883,98.52266643012352
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,False,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,True,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.48071781655611634,0.48261511953265396,0.9144198012211839,,0.0744181998193944,0.0,178.0275463380358
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__confirmed__unguarded,adwin,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123105,0.6607819561786776,0.5340890433590901,0.50839801234943,0.8128780748327712,1.0,0.0,8.87049693348984,66.31001683334321
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117587,0.6311633798885681,0.47144147457390384,0.4517396124302347,0.8054854896069377,0.8260504201680672,0.1735881908614884,7.01388129624778,85.525919984006
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__immediate__unguarded,adwin,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,134787,0.7234865970306277,0.6788778941147927,0.6789128547701953,0.8384415476482412,1.0,0.0,48.89087844737423,45.62865409810299
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__immediate__guarded,adwin,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115074,0.6176745284538008,0.5053433378573627,0.49701854135796925,0.80762568308575,0.6854534917415241,0.3141507380711569,25.786328295028603,51.62709978071672
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__confirmed__unguarded,d3_oof,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121089,0.6499608163090037,0.5017115309071383,0.4754414906023666,0.7996178075063392,1.0,0.0,1.0314531318011442,87.09304637622051
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__confirmed__guarded,d3_oof,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120331,0.6458921536000687,0.46730021196832894,0.45939192620234737,0.8399098803098632,0.8578672848449724,0.1427236297993829,1.4440343845216017,129.20518045273138
