dataset,comparison_detector,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,adwin,1,instance,moderate,confirmed_screened,macro_recall,0.4615400641033651,0.011077700169050197,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,poison_admission_rate,0.8422567218696827,0.01781891285266105,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,resets_per_100k,7.426462548968238,0.8991999933039456,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,roc_auc,0.809075994600103,0.028561595936265897,3,3
RADAR,adwin,1,instance,moderate,confirmed_screened,seconds_per_100k,83.4950405051781,2.0475309891323343,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,accuracy,0.6657365689232376,0.008396016444585411,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,macro_f1,0.5405778603370761,0.021273940842542225,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,macro_recall,0.5180857941172184,0.02034681948606369,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,resets_per_100k,8.045334428048925,0.7437914309893885,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,roc_auc,0.8139874582001972,0.009330199158028182,3,3
RADAR,adwin,1,instance,moderate,confirmed_unscreened,seconds_per_100k,67.35903991658121,0.9177491767303189,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,accuracy,0.6242075276818552,0.006955966668611069,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,clean_withhold_rate,0.32128675670588847,0.009262173961157813,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,macro_f1,0.50811595820837,0.0026418104871520896,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,macro_recall,0.5014307426034393,0.005140112742470132,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,poison_admission_rate,0.6799468688692513,0.0052782431583039005,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,resets_per_100k,25.44251058442822,0.7810037064649807,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,roc_auc,0.8087591152508745,0.003938874000284075,3,3
RADAR,adwin,1,instance,moderate,immediate_screened,seconds_per_100k,51.40975049148292,0.35719792114638327,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,accuracy,0.7418216789581983,0.016034371596221703,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,macro_f1,0.6909903866476297,0.011366866328164365,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,macro_recall,0.6869314528226859,0.010196400481681989,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,resets_per_100k,47.99695239981324,0.9302159559245411,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,roc_auc,0.8465615780692142,0.007120213644291041,3,3
RADAR,adwin,1,instance,moderate,immediate_unscreened,seconds_per_100k,45.081441201348305,0.9315101341987441,3,3
RADAR,adwin,1,instance,moderate,none_screened,accuracy,0.647302252156101,0.03173548305145332,3,3
RADAR,adwin,1,instance,moderate,none_screened,clean_withhold_rate,0.0904339554965331,0.01458040153699592,3,3
RADAR,adwin,1,instance,moderate,none_screened,macro_f1,0.4483436844076094,0.048636568485588595,3,3
RADAR,adwin,1,instance,moderate,none_screened,macro_recall,0.4397000954093133,0.05034514249589015,3,3
RADAR,adwin,1,instance,moderate,none_screened,poison_admission_rate,0.9106796100531938,0.014184007153443087,3,3
RADAR,adwin,1,instance,moderate,none_screened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,1,instance,moderate,none_screened,roc_auc,0.8228733960916704,0.03042757223256019,3,3
RADAR,adwin,1,instance,moderate,none_screened,seconds_per_100k,243.02164714127002,24.51472963725149,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,accuracy,0.6421541725654216,0.0190419936002027,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,macro_f1,0.4554997807968932,0.0223644889421702,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,macro_recall,0.43957017478275473,0.012995936053973188,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,roc_auc,0.7797817374411804,0.007571244427423915,3,3
RADAR,adwin,1,instance,moderate,none_unscreened,seconds_per_100k,73.61478813608524,5.040638785590464,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,accuracy,0.6072920087615313,0.010580503621984504,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,clean_withhold_rate,0.15507377042204487,0.011122831909045245,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,macro_f1,0.45211595130048843,0.007055010099206645,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,macro_recall,0.4254258106126025,0.012668011292069051,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,poison_admission_rate,0.8450693045320721,0.01039499209332304,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,resets_per_100k,6.876354212007627,0.11910194866037459,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,roc_auc,0.7740261011672308,0.008223761915036987,3,3
RADAR,adwin,2,instance,severe,confirmed_screened,seconds_per_100k,81.15514324475986,3.1637979526213402,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,accuracy,0.6563106591129381,0.009076528382336031,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,macro_f1,0.5338877049392647,0.009330059747399453,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,macro_recall,0.5048375766670866,0.010192881954793728,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,resets_per_100k,8.66420630712961,0.20629062636022866,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,roc_auc,0.7966018277957411,0.021561661435106072,3,3
RADAR,adwin,2,instance,severe,confirmed_unscreened,seconds_per_100k,68.50822965511345,1.6914971685871725,3,3
RADAR,adwin,2,instance,severe,immediate_screened,accuracy,0.6239130913771801,0.012348428865483756,3,3
RADAR,adwin,2,instance,severe,immediate_screened,clean_withhold_rate,0.30184775983290724,0.007517901230338804,3,3
RADAR,adwin,2,instance,severe,immediate_screened,macro_f1,0.494651771539442,0.007115503953621657,3,3
RADAR,adwin,2,instance,severe,immediate_screened,macro_recall,0.4835949847326979,0.008215126560260893,3,3
RADAR,adwin,2,instance,severe,immediate_screened,poison_admission_rate,0.6983143219618325,0.007264059119029875,3,3
RADAR,adwin,2,instance,severe,immediate_screened,resets_per_100k,26.611490800469515,0.8991999933039461,3,3
RADAR,adwin,2,instance,severe,immediate_screened,roc_auc,0.7979212592269835,0.016670128428058914,3,3
