rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_baseline,host_accuracy_baseline,poison_admission_rate_baseline,clean_withhold_rate_baseline,resets_baseline,training_visits_baseline,seconds_baseline,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference
12000,11400,7600,0,0,0.13422941700264346,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,adwin,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13422941700264346,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.1311209170089569,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,adwin,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13422941700264346,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0031084999936865643
12000,11400,7600,0,0,0.1306158340012189,False,600,none,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,hddm_w,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13354062500002328,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.002924790998804383
12000,11400,7600,0,0,0.13354062500002328,False,600,none,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,hddm_w,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13354062500002328,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.1419807909987867,False,600,confirmed,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,hddm_w,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14297820899810176,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0009974179993150756
12000,11400,7600,0,0,0.14297820899810176,False,600,confirmed,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,hddm_w,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14297820899810176,0.0,0.0,,0.0,0,0,0.0
12000,11400,5700,950,1,0.13869200000772253,False,600,rl,True,10450,0.8916746411483254,0.8801696017385143,0,0,,10450,5700,0.5454545454545454,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,error_rule,hddm_w,0.01,5,4,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.14300875000481028,0.007268007780447894,0.0052631578947368585,,0.18181818181818177,-1,0,-0.004316749997087754
12000,11400,7600,1900,2,0.14300875000481028,False,600,rl,True,10450,0.8864114832535885,0.8729015939580664,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,error_rule,hddm_w,0.05,1,0,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.14300875000481028,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.14205566700547934,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,selected_map,hddm_w,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1512367919931421,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.00918112498766277
12000,11400,7600,0,0,0.1512367919931421,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,selected_map,hddm_w,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1512367919931421,0.0,0.0,,0.0,0,0,0.0
