stream,detector,arm,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,0.05,1,0.535310562656101,0.5405295488735368,0.6688127216229457,0.24326949620790644,1.9523809523809523,64147.61904761905,2.8728642816665038,,
RBF_I,adwin,error_rule,0.05,1,0.5300701387433546,0.5367935855317015,0.46873417004058154,0.3586891869562486,8.142857142857142,57000.0,2.5809517122397665,,
RBF_I,adwin,no_reset,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.913447944425917,,
RBF_I,adwin,q_alarm_17,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.919632035714347,,
RBF_I,adwin,q_alarm_27,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9103771328082075,,
RBF_I,adwin,q_alarm_7,0.05,1,0.5331886108185603,0.538646601489637,0.5075935517388847,0.42079925731532175,25.333333333333332,57000.0,2.51197387114267,,
RBF_I,adwin,q_alarm_persistence_17,0.05,1,0.5300912687860778,0.5366082611489201,0.6155233025947592,0.3307053511215071,6.476190476190476,57000.0,2.620057845094596,,
RBF_I,adwin,q_alarm_persistence_27,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.910533513903612,,
RBF_I,adwin,q_alarm_persistence_7,0.05,1,0.5302897126724416,0.535943033433173,0.4428653646687752,0.4055979366033388,20.238095238095237,57000.0,2.5334468214284804,,
RBF_I,adwin,selected_map,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9355725633788445,,
RBF_I,d3_oof,confirmed,0.05,1,0.5446862273819646,0.5487398349820557,0.6698309852633804,0.23424953192467962,0.38095238095238093,58266.66666666667,3.0065902678581464,,
RBF_I,d3_oof,error_rule,0.05,1,0.5300701387433546,0.5367935855317015,0.46873417004058154,0.3586891869562486,8.142857142857142,57000.0,2.6530032658532336,,
RBF_I,d3_oof,no_reset,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9062314146666766,,
RBF_I,d3_oof,q_alarm_17,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,3.051165311476022,,
RBF_I,d3_oof,q_alarm_27,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,3.0450121428106547,,
RBF_I,d3_oof,q_alarm_7,0.05,1,0.5450748259243002,0.5491018581292979,0.6878711672563457,0.2466638179552873,0.619047619047619,57000.0,2.9357766308551487,,
RBF_I,d3_oof,q_alarm_persistence_17,0.05,1,0.5300908297435625,0.5368027883364683,0.4691933711862495,0.35665784825616853,8.047619047619047,57000.0,2.640163291714825,,
RBF_I,d3_oof,q_alarm_persistence_27,0.05,1,0.5236820226193746,0.5294832540653608,0.45650840052958336,0.3824329474646614,19.714285714285715,57000.0,2.5518363967137354,,
RBF_I,d3_oof,q_alarm_persistence_7,0.05,1,0.5377233225200283,0.5421137121525111,0.6666624699525597,0.2318753143633101,0.19047619047619047,57000.0,3.0133247262392184,,
RBF_I,d3_oof,selected_map,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,3.0313908629988355,,
RBF_I,hddm_w,confirmed,0.05,1,0.5277463772326647,0.5337170309309304,0.6679438772843569,0.2543900192930098,2.5714285714285716,66680.95238095238,2.9926711983820757,,
RBF_I,hddm_w,error_rule,0.05,1,0.5300701387433546,0.5367935855317015,0.46873417004058154,0.3586891869562486,8.142857142857142,57000.0,2.681962472192633,,
RBF_I,hddm_w,no_reset,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.915406462286011,,
RBF_I,hddm_w,q_alarm_17,0.05,1,0.532510733403741,0.5384337671341504,0.3471707804495157,0.4141233348777703,19.190476190476193,57000.0,2.620262966142036,,
RBF_I,hddm_w,q_alarm_27,0.05,1,0.5293811964257163,0.5352289185986774,0.5865738487754131,0.3657613138824428,10.857142857142858,57000.0,2.676832395000799,,
RBF_I,hddm_w,q_alarm_7,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9951312896681928,,
RBF_I,hddm_w,q_alarm_persistence_17,0.05,1,0.5303398308314108,0.5369201343749246,0.4860104120136201,0.3232756615530941,5.238095238095238,57000.0,2.6863868850473196,,
RBF_I,hddm_w,q_alarm_persistence_27,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.99725319252355,,
RBF_I,hddm_w,q_alarm_persistence_7,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,3.011594829333869,,
RBF_I,hddm_w,selected_map,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9888670497173386,,
RBF_I,hellinger,confirmed,0.05,1,0.5376803593830897,0.5421913504700416,0.655187432998709,0.25625052333290693,1.619047619047619,62157.142857142855,2.878634307473216,,
RBF_I,hellinger,error_rule,0.05,1,0.5300701387433546,0.5367935855317015,0.46873417004058154,0.3586891869562486,8.142857142857142,57000.0,2.6053511330946573,,
RBF_I,hellinger,no_reset,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.920157367093322,,
RBF_I,hellinger,q_alarm_17,0.05,1,0.5318243524907434,0.5372144882419077,0.339892357888081,0.4595376792697076,29.571428571428573,57000.0,2.484212880904947,,
RBF_I,hellinger,q_alarm_27,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9291619304290397,,
RBF_I,hellinger,q_alarm_7,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.932185799620042,,
RBF_I,hellinger,q_alarm_persistence_17,0.05,1,0.5305493803651374,0.537410411716361,0.49946753256577686,0.34876164870571974,7.904761904761905,57000.0,2.608134857189725,,
RBF_I,hellinger,q_alarm_persistence_27,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9248876884278916,,
RBF_I,hellinger,q_alarm_persistence_7,0.05,1,0.5263769281061496,0.5315306314640857,0.6490715650061104,0.2594538452844678,2.142857142857143,57000.0,2.723149924522399,,
RBF_I,hellinger,selected_map,0.05,1,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655797,0.0,57000.0,2.9243344900945276,,
SEA_A,adwin,confirmed,0.05,1,0.8952929805912843,0.9039500281798666,0.6581537414913651,0.30348704154424183,1.2857142857142858,61071.42857142857,0.8359822679534166,,
SEA_A,adwin,error_rule,0.05,1,0.8989944743667005,0.907408384684202,0.43837501584701927,0.48250570010942856,5.809523809523809,57000.0,0.7417091368080859,,
SEA_A,adwin,no_reset,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.8965452540467681,,
SEA_A,adwin,q_alarm_17,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9110318809543969,,
SEA_A,adwin,q_alarm_27,0.05,1,0.9024087942144071,0.9106935372495182,0.5232755893706273,0.38294412375212594,29.857142857142858,57000.0,0.7054731290485333,,
SEA_A,adwin,q_alarm_7,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.91171150004846,,
SEA_A,adwin,q_alarm_persistence_17,0.05,1,0.891922266068087,0.9011613650343696,0.556720802608221,0.3463357177915562,3.0,57000.0,0.7990206050488355,,
SEA_A,adwin,q_alarm_persistence_27,0.05,1,0.9013443808710546,0.909795686662131,0.5218274025797786,0.3827763468969953,26.38095238095238,57000.0,0.7072637758101337,,
SEA_A,adwin,q_alarm_persistence_7,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9080776865226826,,
SEA_A,adwin,selected_map,0.05,1,0.8995312168746745,0.9079342980922853,0.38665171522703684,0.5020731161553467,7.952380952380952,57000.0,0.7316689145227429,,
SEA_A,d3_oof,confirmed,0.05,1,0.8885369975931819,0.8984383557941065,0.7520796999608192,0.208271725876706,0.14285714285714285,57633.33333333333,0.9970446548568794,,
SEA_A,d3_oof,error_rule,0.05,1,0.8989944743667005,0.907408384684202,0.43837501584701927,0.48250570010942856,5.809523809523809,57000.0,0.7941170436665527,,
SEA_A,d3_oof,no_reset,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9045735891905636,,
SEA_A,d3_oof,q_alarm_17,0.05,1,0.9015839111624214,0.9099116422663037,0.46058743865292545,0.4192958381232459,33.142857142857146,57000.0,0.6924201846198966,,
SEA_A,d3_oof,q_alarm_27,0.05,1,0.9015839111624214,0.9099116422663037,0.46058743865292545,0.4192958381232459,33.142857142857146,57000.0,0.6905116587149678,,
SEA_A,d3_oof,q_alarm_7,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,1.0050588354303422,,
SEA_A,d3_oof,q_alarm_persistence_17,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,1.002190355093695,,
SEA_A,d3_oof,q_alarm_persistence_27,0.05,1,0.9012044339487967,0.9096493108133501,0.5266375858267933,0.38575251246784276,28.38095238095238,57000.0,0.7024021509056357,,
SEA_A,d3_oof,q_alarm_persistence_7,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,1.0043739206164555,,
SEA_A,d3_oof,selected_map,0.05,1,0.8991263695139808,0.9075428350899107,0.43811169799255184,0.48362950964277945,5.80952380952381,57000.0,0.7948196647124686,,
SEA_A,hddm_w,confirmed,0.05,1,0.8954932558558785,0.9041068226950656,0.6682495567387342,0.28139095163402,1.238095238095238,60619.04761904762,0.9236175020002217,,
SEA_A,hddm_w,error_rule,0.05,1,0.8989944743667005,0.907408384684202,0.43837501584701927,0.48250570010942856,5.809523809523809,57000.0,0.8073791766191355,,
SEA_A,hddm_w,no_reset,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9004487559044112,,
SEA_A,hddm_w,q_alarm_17,0.05,1,0.9015839111624214,0.9099116422663037,0.46058743865292545,0.4192958381232459,33.142857142857146,57000.0,0.7770865019050516,,
SEA_A,hddm_w,q_alarm_27,0.05,1,0.9034521907142097,0.9116474858594896,0.5249085551010672,0.38676196986787226,29.285714285714285,57000.0,0.7855878848578348,,
SEA_A,hddm_w,q_alarm_7,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9748183552860393,,
SEA_A,hddm_w,q_alarm_persistence_17,0.05,1,0.9012044339487967,0.9096493108133501,0.5266375858267933,0.38575251246784276,28.38095238095238,57000.0,0.7853273671443318,,
SEA_A,hddm_w,q_alarm_persistence_27,0.05,1,0.9017877137504693,0.91019122119977,0.5344847270079381,0.38031450174639214,25.428571428571427,57000.0,0.7885378751435338,,
SEA_A,hddm_w,q_alarm_persistence_7,0.05,1,0.8936546195054855,0.9026101193888696,0.6025740938905043,0.2981880469015638,1.3333333333333335,57000.0,0.9073463332842081,,
SEA_A,hddm_w,selected_map,0.05,1,0.9034521907142097,0.9116474858594896,0.5249085551010672,0.38676196986787226,29.285714285714285,57000.0,0.7848358332855804,,
SEA_A,hellinger,confirmed,0.05,1,0.891111838253983,0.9005171613047909,0.7366868925202481,0.21906780578444413,0.38095238095238093,58266.66666666667,0.8883721786183915,,
SEA_A,hellinger,error_rule,0.05,1,0.8989944743667005,0.907408384684202,0.43837501584701927,0.48250570010942856,5.809523809523809,57000.0,0.7415026150951495,,
SEA_A,hellinger,no_reset,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9016999463804366,,
SEA_A,hellinger,q_alarm_17,0.05,1,0.8963821240396612,0.9051408304274753,0.6162607605821863,0.32705876134126627,2.619047619047619,57000.0,0.787086448427068,,
SEA_A,hellinger,q_alarm_27,0.05,1,0.9016176987396992,0.9099471086808617,0.45625161659661817,0.4205304951774404,32.95238095238095,57000.0,0.6991403057160953,,
SEA_A,hellinger,q_alarm_7,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9105991071403315,,
SEA_A,hellinger,q_alarm_persistence_17,0.05,1,0.9012044339487967,0.9096493108133501,0.5266375858267933,0.38575251246784276,28.38095238095238,57000.0,0.7045864483336031,,
SEA_A,hellinger,q_alarm_persistence_27,0.05,1,0.9011311728152245,0.9095762452688875,0.5273650394038588,0.3847753228169831,28.333333333333336,57000.0,0.7053617837137566,,
SEA_A,hellinger,q_alarm_persistence_7,0.05,1,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034206,0.0,57000.0,0.9130642955694513,,
SEA_A,hellinger,selected_map,0.05,1,0.8998986818980985,0.9082868762412633,0.4683820133854004,0.4580370743447732,7.238095238095239,57000.0,0.7380562699995824,,
radar,adwin,confirmed,0.05,1,0.45521732014120664,0.5971277795871988,0.8285364360516724,0.17267215434875763,9.761904761904761,164115.0,39.15429186728683,0.6875069720585361,0.21356445807234245
radar,adwin,error_rule,0.05,1,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.3708584683204661,31.142857142857142,137515.0,24.743916708425832,0.7043831127706589,0.2706859134878116
radar,adwin,no_reset,0.05,1,0.4417362149194993,0.6458904291231412,0.8691038322692003,0.12899915257643657,0.0,137515.0,56.13413462714276,0.7453994180249219,0.10732203991956858
radar,adwin,q_alarm_17,0.05,1,0.47373971329335823,0.6065111418450119,0.7253249015652896,0.29308346427625664,30.428571428571427,137515.0,29.304108938571602,0.7188540182978348,0.23715960592135069
radar,adwin,q_alarm_27,0.05,1,0.47373971329335823,0.6065111418450119,0.7253249015652896,0.29308346427625664,30.428571428571427,137515.0,29.400096317335347,0.7188540182978348,0.23715960592135069
